Web Search interest
United States; Past 90 days

Interest over time
Day,Jobs & Education
2014-06-18,+0%
2014-06-19,-3%
2014-06-20,-11%
2014-06-21,-34%
2014-06-22,-36%
2014-06-23,-2%
2014-06-24,+0%
2014-06-25,-3%
2014-06-26,-8%
2014-06-27,-14%
2014-06-28,-34%
2014-06-29,-37%
2014-06-30,-9%
2014-07-01,-8%
2014-07-02,-11%
2014-07-03,-19%
2014-07-04,-42%
2014-07-05,-41%
2014-07-06,-34%
2014-07-07,+0%
2014-07-08,-2%
2014-07-09,-3%
2014-07-10,-3%
2014-07-11,-14%
2014-07-12,-34%
2014-07-13,-34%
2014-07-14,-2%
2014-07-15,-2%
2014-07-16,-2%
2014-07-17,-6%
2014-07-18,-16%
2014-07-19,-33%
2014-07-20,-31%
2014-07-21,+2%
2014-07-22,-2%
2014-07-23,+0%
2014-07-24,-3%
2014-07-25,-11%
2014-07-26,-31%
2014-07-27,-30%
2014-07-28,+5%
2014-07-29,+6%
2014-07-30,+5%
2014-07-31,+3%
2014-08-01,-3%
2014-08-02,-27%
2014-08-03,-23%
2014-08-04,+14%
2014-08-05,+17%
2014-08-06,+17%
2014-08-07,+11%
2014-08-08,+2%
2014-08-09,-25%
2014-08-10,-23%
2014-08-11,+14%
2014-08-12,+16%
2014-08-13,+23%
2014-08-14,+22%
2014-08-15,+11%
2014-08-16,-17%
2014-08-17,-14%
2014-08-18,+42%
2014-08-19,+39%
2014-08-20,+39%
2014-08-21,+38%
2014-08-22,+28%
2014-08-23,-6%
2014-08-24,-5%
2014-08-25,+56%
2014-08-26,+52%
2014-08-27,+44%
2014-08-28,+41%
2014-08-29,+28%
2014-08-30,-5%
2014-08-31,-12%
2014-09-01,-5%
2014-09-02,+50%
2014-09-03,+48%
2014-09-04,+44%
2014-09-05,+31%
2014-09-06,-2%
2014-09-07,-5%
2014-09-08,+42%
2014-09-09,+42%
2014-09-10,+39%
2014-09-11,+33%
2014-09-12,+28%
2014-09-13,-3%
2014-09-14,-6%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
school,100
jobs,55
job,15
test,10
indeed,10
resume,5
academy,5
teacher,5
blackboard,5
professor,5
summer,5
barnes and noble,5
als,5
rate my professor,5
pay,5
interview questions,5
cover letter,5
act,0
kindergarten,0
careerbuilder,0



Rising searches
what is als,+3,600%
google classroom,+2,150%
als,+1,900%
back to school,+900%
ap scores,+350%
common app,+200%
notre dame,+70%
webadvisor,+70%
uber,+60%
gre,+40%



