News Search interest
United States; 2011

Interest over time
Week,Computers & Electronics
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,-13%
2011-01-16 - 2011-01-22,-7%
2011-01-23 - 2011-01-29,-4%
2011-01-30 - 2011-02-05,-9%
2011-02-06 - 2011-02-12,+0%
2011-02-13 - 2011-02-19,+0%
2011-02-20 - 2011-02-26,+2%
2011-02-27 - 2011-03-05,+15%
2011-03-06 - 2011-03-12,-9%
2011-03-13 - 2011-03-19,-15%
2011-03-20 - 2011-03-26,-4%
2011-03-27 - 2011-04-02,-4%
2011-04-03 - 2011-04-09,-11%
2011-04-10 - 2011-04-16,-5%
2011-04-17 - 2011-04-23,+9%
2011-04-24 - 2011-04-30,+22%
2011-05-01 - 2011-05-07,+15%
2011-05-08 - 2011-05-14,+18%
2011-05-15 - 2011-05-21,+2%
2011-05-22 - 2011-05-28,-7%
2011-05-29 - 2011-06-04,+13%
2011-06-05 - 2011-06-11,+18%
2011-06-12 - 2011-06-18,-4%
2011-06-19 - 2011-06-25,-11%
2011-06-26 - 2011-07-02,-7%
2011-07-03 - 2011-07-09,-9%
2011-07-10 - 2011-07-16,+0%
2011-07-17 - 2011-07-23,+4%
2011-07-24 - 2011-07-30,-7%
2011-07-31 - 2011-08-06,-7%
2011-08-07 - 2011-08-13,-9%
2011-08-14 - 2011-08-20,+4%
2011-08-21 - 2011-08-27,+16%
2011-08-28 - 2011-09-03,-2%
2011-09-04 - 2011-09-10,-4%
2011-09-11 - 2011-09-17,+2%
2011-09-18 - 2011-09-24,-2%
2011-09-25 - 2011-10-01,+11%
2011-10-02 - 2011-10-08,+82%
2011-10-09 - 2011-10-15,+24%
2011-10-16 - 2011-10-22,+7%
2011-10-23 - 2011-10-29,+4%
2011-10-30 - 2011-11-05,+5%
2011-11-06 - 2011-11-12,-2%
2011-11-13 - 2011-11-19,+5%
2011-11-20 - 2011-11-26,+0%
2011-11-27 - 2011-12-03,+0%
2011-12-04 - 2011-12-10,+2%
2011-12-11 - 2011-12-17,-4%
2011-12-18 - 2011-12-24,-9%
2011-12-25 - 2011-12-31,+4%



Top searches
apple,100
ipad,75
steve jobs,45
playstation,45
iphone,40
hp,40
xbox,40
ipad 2,35
tablet,35
ps3,35
windows,30
samsung,30
google,30
kindle,30
touchpad,25
playstation network,25
sony,25
android,25
jailbreak,25
microsoft,20



Rising searches
touchpad,Breakout
ipad 2,+1,500%
playstation network,+850%
psn,+850%
ios,+500%
steve jobs,+300%
samsung,+250%
playstation,+130%
hp,+120%
jailbreak,+90%



