News Search interest
United States; Past 12 months

Interest over time
Week,Computers & Electronics
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+7%
2013-09-29 - 2013-10-05,-17%
2013-10-06 - 2013-10-12,-22%
2013-10-13 - 2013-10-19,-11%
2013-10-20 - 2013-10-26,+2%
2013-10-27 - 2013-11-02,-7%
2013-11-03 - 2013-11-09,-1%
2013-11-10 - 2013-11-16,+20%
2013-11-17 - 2013-11-23,+23%
2013-11-24 - 2013-11-30,+9%
2013-12-01 - 2013-12-07,-12%
2013-12-08 - 2013-12-14,-6%
2013-12-15 - 2013-12-21,-16%
2013-12-22 - 2013-12-28,-14%
2013-12-29 - 2014-01-04,-30%
2014-01-05 - 2014-01-11,-16%
2014-01-12 - 2014-01-18,-20%
2014-01-19 - 2014-01-25,-20%
2014-01-26 - 2014-02-01,-19%
2014-02-02 - 2014-02-08,-22%
2014-02-09 - 2014-02-15,-23%
2014-02-16 - 2014-02-22,-25%
2014-02-23 - 2014-03-01,-12%
2014-03-02 - 2014-03-08,-21%
2014-03-09 - 2014-03-15,-27%
2014-03-16 - 2014-03-22,-28%
2014-03-23 - 2014-03-29,-26%
2014-03-30 - 2014-04-05,-15%
2014-04-06 - 2014-04-12,-11%
2014-04-13 - 2014-04-19,-21%
2014-04-20 - 2014-04-26,-22%
2014-04-27 - 2014-05-03,-12%
2014-05-04 - 2014-05-10,-25%
2014-05-11 - 2014-05-17,-22%
2014-05-18 - 2014-05-24,-17%
2014-05-25 - 2014-05-31,-20%
2014-06-01 - 2014-06-07,-2%
2014-06-08 - 2014-06-14,-23%
2014-06-15 - 2014-06-21,-26%
2014-06-22 - 2014-06-28,-32%
2014-06-29 - 2014-07-05,-35%
2014-07-06 - 2014-07-12,-35%
2014-07-13 - 2014-07-19,-25%
2014-07-20 - 2014-07-26,-22%
2014-07-27 - 2014-08-02,-22%
2014-08-03 - 2014-08-09,-33%
2014-08-10 - 2014-08-16,-31%
2014-08-17 - 2014-08-23,-28%
2014-08-24 - 2014-08-30,-27%
2014-08-31 - 2014-09-06,-25%
2014-09-07 - 2014-09-13,-7%
2014-09-14 - 2014-09-20,-19%



Top searches
xbox,100
apple,100
xbox one,75
microsoft,55
ps4,55
galaxy,45
playstation,40
windows,35
iphone,35
google,30
playstation 4,30
ios,30
ipad,25
nintendo,20
s5,20
microsoft corporation,15
tablet,15
galaxy s5,15
ios 7,15
chrome,15



Rising searches
microsoft corporation,Breakout
galaxy s5,+2,700%
s5,+2,650%
samsung galaxy s5,+2,550%
samsung s5,+2,550%
windows 8.1,+350%
ios 7,+250%
xbox one,+200%
playstation 4,+90%
vietnam,+70%



