Web Search interest
United States; Past 90 days

Interest over time
Day,News
2014-06-18,+0%
2014-06-19,+3%
2014-06-20,-1%
2014-06-21,-7%
2014-06-22,-3%
2014-06-23,-1%
2014-06-24,+2%
2014-06-25,+3%
2014-06-26,-1%
2014-06-27,+3%
2014-06-28,-3%
2014-06-29,-7%
2014-06-30,+1%
2014-07-01,+1%
2014-07-02,+6%
2014-07-03,+7%
2014-07-04,+6%
2014-07-05,-7%
2014-07-06,-6%
2014-07-07,-2%
2014-07-08,+2%
2014-07-09,+2%
2014-07-10,-1%
2014-07-11,-4%
2014-07-12,-6%
2014-07-13,-4%
2014-07-14,+2%
2014-07-15,+3%
2014-07-16,-3%
2014-07-17,+10%
2014-07-18,+8%
2014-07-19,+0%
2014-07-20,-1%
2014-07-21,-2%
2014-07-22,+1%
2014-07-23,+2%
2014-07-24,+3%
2014-07-25,+0%
2014-07-26,-6%
2014-07-27,+2%
2014-07-28,+1%
2014-07-29,-3%
2014-07-30,+4%
2014-07-31,+4%
2014-08-01,+2%
2014-08-02,-1%
2014-08-03,-3%
2014-08-04,-2%
2014-08-05,-2%
2014-08-06,+0%
2014-08-07,-1%
2014-08-08,+0%
2014-08-09,-8%
2014-08-10,-6%
2014-08-11,-2%
2014-08-12,+6%
2014-08-13,+1%
2014-08-14,-2%
2014-08-15,-2%
2014-08-16,-6%
2014-08-17,-6%
2014-08-18,-2%
2014-08-19,+0%
2014-08-20,+2%
2014-08-21,+2%
2014-08-22,+1%
2014-08-23,-4%
2014-08-24,-4%
2014-08-25,+1%
2014-08-26,-3%
2014-08-27,-6%
2014-08-28,-2%
2014-08-29,+0%
2014-08-30,-1%
2014-08-31,+1%
2014-09-01,+9%
2014-09-02,+9%
2014-09-03,+3%
2014-09-04,+11%
2014-09-05,+7%
2014-09-06,+4%
2014-09-07,-1%
2014-09-08,+6%
2014-09-09,+7%
2014-09-10,+4%
2014-09-11,+4%
2014-09-12,+2%
2014-09-13,-2%
2014-09-14,-8%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
weather,100
news,80
cnn,20
fox news,15
yahoo,10
weather radar,5
weather channel,5
drudge,5
accuweather,5
kim kardashian,5
bbc,5
weather forecast,5
espn,5
drudge report,5
miley cyrus,5
huffington post,5
cnn news,5
daily news,5
noaa,5
tiempo,5



Rising searches
jeremy meeks,Breakout
betty white,+650%
jennifer lawrence,+650%
transfer news,+400%
brittany murphy,+350%
arsenal news,+300%
orlando bloom,+300%
cristiano ronaldo,+70%
nick cannon,+70%
kourtney kardashian,+60%



