Image Search interest
United States; Past 30 days

Interest over time
Day,News
2014-08-19,+0%
2014-08-20,-3%
2014-08-21,-2%
2014-08-22,+0%
2014-08-23,+2%
2014-08-24,+0%
2014-08-25,+2%
2014-08-26,-3%
2014-08-27,-10%
2014-08-28,-5%
2014-08-29,-3%
2014-08-30,+3%
2014-08-31,+5%
2014-09-01,+54%
2014-09-02,+64%
2014-09-03,+52%
2014-09-04,+33%
2014-09-05,+18%
2014-09-06,+20%
2014-09-07,+26%
2014-09-08,+13%
2014-09-09,+2%
2014-09-10,-2%
2014-09-11,-3%
2014-09-12,-2%
2014-09-13,+10%
2014-09-14,+3%
2014-09-15,-11%
2014-09-16,-10%
2014-09-17, 
2014-09-18, 



Top searches
leaked photos,100
jennifer lawrence,80
leaked jennifer lawrence,75
jennifer lawrence photos,55
miley cyrus,45
kim kardashian,40
kate upton,40
weather,35
kate upton leaked,30
news,20
celebrities,20
brittany murphy,20
ariana grande,20
leaked celebrity photos,15
kylie jenner,15
khloe kardashian,15
kendall jenner,15
leaked photos 2014,10
vanessa hudgens,10
cristiano ronaldo,10



Rising searches
jennifer lawrence hacked,Breakout
jennifer lawrence photos,Breakout
kate upton leaked,Breakout
leaked jennifer lawrence,Breakout
jennifer lawrence,+3,200%
leaked celebrity photos,+3,100%
leaked photos 2014,+2,950%
leaked photos,+1,650%
brittany murphy,+1,250%
kate upton,+750%



