News Search interest
United States; Past 90 days

Interest over time
Day,Business & Industrial
2014-06-19,+0%
2014-06-20,-4%
2014-06-21,-23%
2014-06-22,-27%
2014-06-23,+0%
2014-06-24,-4%
2014-06-25,-1%
2014-06-26,-3%
2014-06-27,-8%
2014-06-28,-23%
2014-06-29,-28%
2014-06-30,-6%
2014-07-01,-6%
2014-07-02,-6%
2014-07-03,-10%
2014-07-04,-28%
2014-07-05,-34%
2014-07-06,-32%
2014-07-07,-1%
2014-07-08,-1%
2014-07-09,-11%
2014-07-10,+4%
2014-07-11,-3%
2014-07-12,-28%
2014-07-13,-31%
2014-07-14,+0%
2014-07-15,+11%
2014-07-16,+10%
2014-07-17,+3%
2014-07-18,-3%
2014-07-19,-25%
2014-07-20,-23%
2014-07-21,+1%
2014-07-22,+4%
2014-07-23,+8%
2014-07-24,+6%
2014-07-25,+7%
2014-07-26,-18%
2014-07-27,-25%
2014-07-28,+0%
2014-07-29,+8%
2014-07-30,+7%
2014-07-31,+3%
2014-08-01,+4%
2014-08-02,-20%
2014-08-03,-24%
2014-08-04,+3%
2014-08-05,+11%
2014-08-06,+6%
2014-08-07,+4%
2014-08-08,-10%
2014-08-09,-27%
2014-08-10,-25%
2014-08-11,-1%
2014-08-12,-11%
2014-08-13,-4%
2014-08-14,+18%
2014-08-15,+7%
2014-08-16,-21%
2014-08-17,-15%
2014-08-18,+13%
2014-08-19,+17%
2014-08-20,+21%
2014-08-21,+15%
2014-08-22,+6%
2014-08-23,-11%
2014-08-24,-23%
2014-08-25,+15%
2014-08-26,+41%
2014-08-27,+11%
2014-08-28,+10%
2014-08-29,-7%
2014-08-30,-24%
2014-08-31,-31%
2014-09-01,-31%
2014-09-02,-10%
2014-09-03,-1%
2014-09-04,-6%
2014-09-05,-8%
2014-09-06,-31%
2014-09-07,-34%
2014-09-08,-14%
2014-09-09,-15%
2014-09-10,-7%
2014-09-11,-6%
2014-09-12,-10%
2014-09-13,-30%
2014-09-14,-35%
2014-09-15,-6%
2014-09-16,+3%
2014-09-17, 
2014-09-18, 



Top searches
ferguson,100
fb,85
market basket,60
energy,50
new,50
gas,40
spacex,40
emmy,40
water,35
nasa,35
oil,30
business,30
solar,30
space,30
emmy awards,25
puerto rico,20
construction,20
apple,20
moon,15
india,15



Rising searches
eli wallach,Breakout
emmy awards,Breakout
market basket,Breakout
ferguson,+2,950%
emmys,+1,350%
emmy,+1,150%
international space station,+700%
lirr,+200%
fb,+100%
transfer,+90%



