News Search interest
United States; Past 90 days

Interest over time
Day,Sports
2014-06-19,+0%
2014-06-20,+13%
2014-06-21,+13%
2014-06-22,+32%
2014-06-23,+42%
2014-06-24,+32%
2014-06-25,+23%
2014-06-26,+48%
2014-06-27,+37%
2014-06-28,+22%
2014-06-29,+28%
2014-06-30,+28%
2014-07-01,+37%
2014-07-02,+30%
2014-07-03,+17%
2014-07-04,+18%
2014-07-05,+35%
2014-07-06,+42%
2014-07-07,+38%
2014-07-08,+47%
2014-07-09,+47%
2014-07-10,+40%
2014-07-11,+67%
2014-07-12,+50%
2014-07-13,+55%
2014-07-14,+33%
2014-07-15,+17%
2014-07-16,+12%
2014-07-17,-2%
2014-07-18,-5%
2014-07-19,+0%
2014-07-20,+0%
2014-07-21,-3%
2014-07-22,-15%
2014-07-23,-13%
2014-07-24,-13%
2014-07-25,-17%
2014-07-26,-12%
2014-07-27,-8%
2014-07-28,-7%
2014-07-29,-15%
2014-07-30,-7%
2014-07-31,-5%
2014-08-01,-17%
2014-08-02,-8%
2014-08-03,-7%
2014-08-04,-7%
2014-08-05,-15%
2014-08-06,-20%
2014-08-07,-13%
2014-08-08,+2%
2014-08-09,+2%
2014-08-10,+22%
2014-08-11,+7%
2014-08-12,-18%
2014-08-13,-17%
2014-08-14,-17%
2014-08-15,-15%
2014-08-16,-12%
2014-08-17,+2%
2014-08-18,+3%
2014-08-19,-17%
2014-08-20,-23%
2014-08-21,-12%
2014-08-22,-8%
2014-08-23,+3%
2014-08-24,+3%
2014-08-25,-10%
2014-08-26,-18%
2014-08-27,-18%
2014-08-28,-12%
2014-08-29,-2%
2014-08-30,+12%
2014-08-31,+15%
2014-09-01,+2%
2014-09-02,-15%
2014-09-03,-13%
2014-09-04,-17%
2014-09-05,-8%
2014-09-06,+5%
2014-09-07,+35%
2014-09-08,+37%
2014-09-09,+2%
2014-09-10,-10%
2014-09-11,-3%
2014-09-12,-8%
2014-09-13,+3%
2014-09-14,+37%
2014-09-15,+13%
2014-09-16,-10%
2014-09-17, 
2014-09-18, 



Top searches
world cup,100
fifa world cup,60
lebron,35
lebron james,30
nba,20
nfl,20
tiger woods,20
ray rice,15
soccer,15
tony stewart,15
lakers,15
arsenal,15
manchester united,15
espn,15
world cup 2014,15
red sox,15
carmelo anthony,10
wwe,10
pistorius,10
boston red sox,10



Rising searches
tony stewart,Breakout
tour de france,Breakout
ray rice,+3,200%
tiger woods,+400%
carmelo anthony,+350%
lebron james,+350%
lebron,+300%
fifa world cup,+250%
world cup,+150%
arsenal,+100%



