Image Search interest
United States; Past 12 months

Interest over time
Week,Finance
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+9%
2013-09-29 - 2013-10-05,+5%
2013-10-06 - 2013-10-12,+4%
2013-10-13 - 2013-10-19,+6%
2013-10-20 - 2013-10-26,+4%
2013-10-27 - 2013-11-02,+2%
2013-11-03 - 2013-11-09,+4%
2013-11-10 - 2013-11-16,+0%
2013-11-17 - 2013-11-23,+2%
2013-11-24 - 2013-11-30,-7%
2013-12-01 - 2013-12-07,+0%
2013-12-08 - 2013-12-14,+1%
2013-12-15 - 2013-12-21,+0%
2013-12-22 - 2013-12-28,-11%
2013-12-29 - 2014-01-04,-1%
2014-01-05 - 2014-01-11,+7%
2014-01-12 - 2014-01-18,+9%
2014-01-19 - 2014-01-25,+6%
2014-01-26 - 2014-02-01,+7%
2014-02-02 - 2014-02-08,+9%
2014-02-09 - 2014-02-15,+9%
2014-02-16 - 2014-02-22,+11%
2014-02-23 - 2014-03-01,+9%
2014-03-02 - 2014-03-08,+8%
2014-03-09 - 2014-03-15,+7%
2014-03-16 - 2014-03-22,+12%
2014-03-23 - 2014-03-29,+11%
2014-03-30 - 2014-04-05,+12%
2014-04-06 - 2014-04-12,+9%
2014-04-13 - 2014-04-19,+12%
2014-04-20 - 2014-04-26,+12%
2014-04-27 - 2014-05-03,+11%
2014-05-04 - 2014-05-10,+7%
2014-05-11 - 2014-05-17,+9%
2014-05-18 - 2014-05-24,+5%
2014-05-25 - 2014-05-31,+7%
2014-06-01 - 2014-06-07,+6%
2014-06-08 - 2014-06-14,+6%
2014-06-15 - 2014-06-21,+8%
2014-06-22 - 2014-06-28,+7%
2014-06-29 - 2014-07-05,+5%
2014-07-06 - 2014-07-12,+8%
2014-07-13 - 2014-07-19,+9%
2014-07-20 - 2014-07-26,+18%
2014-07-27 - 2014-08-02,+9%
2014-08-03 - 2014-08-09,+11%
2014-08-10 - 2014-08-16,+6%
2014-08-17 - 2014-08-23,+8%
2014-08-24 - 2014-08-30,+9%
2014-08-31 - 2014-09-06,+5%
2014-09-07 - 2014-09-13,+7%
2014-09-14 - 2014-09-20,+9%



Top searches
bank,100
mlp,90
card,85
credit,85
money,80
insurance,60
chase,45
credit card,45
check,40
banks,35
stock,30
rates,30
dollar,25
rate,25
wells fargo,20
rates instagram,20
bank of america,20
cash,20
currency,20
capital,15



Rising searches
rates for instagram,+1,600%
rates instagram,+1,100%
group rates,+650%
like for rate,+450%
bts,+400%
rate instagram,+350%
rates,+300%
payday 2,+160%
ronnie banks,+120%
rate,+110%



