Web Search interest
United States; 2011

Interest over time
Week,People & Society
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,+5%
2011-01-16 - 2011-01-22,-2%
2011-01-23 - 2011-01-29,-3%
2011-01-30 - 2011-02-05,-4%
2011-02-06 - 2011-02-12,-4%
2011-02-13 - 2011-02-19,-5%
2011-02-20 - 2011-02-26,-4%
2011-02-27 - 2011-03-05,-6%
2011-03-06 - 2011-03-12,-3%
2011-03-13 - 2011-03-19,-3%
2011-03-20 - 2011-03-26,-5%
2011-03-27 - 2011-04-02,-2%
2011-04-03 - 2011-04-09,-5%
2011-04-10 - 2011-04-16,-4%
2011-04-17 - 2011-04-23,-4%
2011-04-24 - 2011-04-30,+0%
2011-05-01 - 2011-05-07,-5%
2011-05-08 - 2011-05-14,-2%
2011-05-15 - 2011-05-21,-2%
2011-05-22 - 2011-05-28,-3%
2011-05-29 - 2011-06-04,-5%
2011-06-05 - 2011-06-11,-4%
2011-06-12 - 2011-06-18,-6%
2011-06-19 - 2011-06-25,-6%
2011-06-26 - 2011-07-02,-5%
2011-07-03 - 2011-07-09,-6%
2011-07-10 - 2011-07-16,-2%
2011-07-17 - 2011-07-23,-2%
2011-07-24 - 2011-07-30,-8%
2011-07-31 - 2011-08-06,-6%
2011-08-07 - 2011-08-13,-5%
2011-08-14 - 2011-08-20,-5%
2011-08-21 - 2011-08-27,-6%
2011-08-28 - 2011-09-03,-8%
2011-09-04 - 2011-09-10,-3%
2011-09-11 - 2011-09-17,-3%
2011-09-18 - 2011-09-24,-2%
2011-09-25 - 2011-10-01,+0%
2011-10-02 - 2011-10-08,-1%
2011-10-09 - 2011-10-15,+1%
2011-10-16 - 2011-10-22,+1%
2011-10-23 - 2011-10-29,+2%
2011-10-30 - 2011-11-05,+2%
2011-11-06 - 2011-11-12,-1%
2011-11-13 - 2011-11-19,-1%
2011-11-20 - 2011-11-26,-9%
2011-11-27 - 2011-12-03,-1%
2011-12-04 - 2011-12-10,+2%
2011-12-11 - 2011-12-17,-1%
2011-12-18 - 2011-12-24,-4%
2011-12-25 - 2011-12-31,-2%



Top searches
games,100
girls,95
wedding,90
bible,70
pregnancy,60
hot,50
2012,50
us,45
horoscope,45
love,40
cool math,30
cool math games,25
pandora,25
harry potter,25
baby names,25
babies r us,20
social security,20
people,20
calendar,15
tmz,15



Rising searches
2012,+450%
zodiac signs,+190%
kim kardashian,+160%
coloring pages,+150%
cool math games,+90%
cool math,+80%
calendar,+60%
nick,+60%
pandora,+60%
babies r us,+40%



