Web Search interest
United States; Past 7 days

Interest over time
Day,News
2014-09-11,+0%
2014-09-12,+0%
2014-09-13,-6%
2014-09-14,-10%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
weather,100
news,65
cnn,20
fox news,15
yahoo,10
weather channel,5
weather radar,5
accuweather,5
weather forecast,5
drudge,5
espn,5
bbc,5
cnn news,5
kim kardashian,5
drudge report,5
daily news,5
huffington post,5
tiempo,5
google news,5
daily mail,5



Rising searches
haley joel osment,+1,350%
sarah palin,+500%
american flag,+120%
paul walker,+120%
ellen degeneres,+110%
livescore,+80%
britney spears,+60%
jennifer lopez,+60%
houston weather,+50%
khloe kardashian,+50%



