YouTube Search interest
United States; Past 90 days

Interest over time
Day,Real Estate
2014-06-20,+0%
2014-06-21,+14%
2014-06-22,+27%
2014-06-23,+14%
2014-06-24,+20%
2014-06-25,+1%
2014-06-26,+16%
2014-06-27,+4%
2014-06-28,+15%
2014-06-29,+22%
2014-06-30,+9%
2014-07-01,+20%
2014-07-02,+6%
2014-07-03,+6%
2014-07-04,+8%
2014-07-05,+13%
2014-07-06,+14%
2014-07-07,+5%
2014-07-08,+13%
2014-07-09,+15%
2014-07-10,+6%
2014-07-11,+10%
2014-07-12,-3%
2014-07-13,+9%
2014-07-14,+10%
2014-07-15,+18%
2014-07-16,+0%
2014-07-17,+14%
2014-07-18,+9%
2014-07-19,+4%
2014-07-20,+15%
2014-07-21,+19%
2014-07-22,+13%
2014-07-23,+16%
2014-07-24,+4%
2014-07-25,+15%
2014-07-26,+10%
2014-07-27,+6%
2014-07-28,+16%
2014-07-29,+0%
2014-07-30,-1%
2014-07-31,+11%
2014-08-01,+0%
2014-08-02,-3%
2014-08-03,-1%
2014-08-04,+5%
2014-08-05,+5%
2014-08-06,+5%
2014-08-07,+3%
2014-08-08,+9%
2014-08-09,-6%
2014-08-10,+5%
2014-08-11,+5%
2014-08-12,-6%
2014-08-13,-10%
2014-08-14,-3%
2014-08-15,+1%
2014-08-16,+4%
2014-08-17,+3%
2014-08-18,+1%
2014-08-19,+0%
2014-08-20,+4%
2014-08-21,+4%
2014-08-22,-11%
2014-08-23,+4%
2014-08-24,-6%
2014-08-25,-8%
2014-08-26,-8%
2014-08-27,+1%
2014-08-28,-4%
2014-08-29,-5%
2014-08-30,+1%
2014-08-31,+6%
2014-09-01,-4%
2014-09-02,+6%
2014-09-03,-6%
2014-09-04,-13%
2014-09-05,-3%
2014-09-06,-5%
2014-09-07,+0%
2014-09-08,-15%
2014-09-09,-8%
2014-09-10,-1%
2014-09-11,-3%
2014-09-12,-5%
2014-09-13,+3%
2014-09-14,-4%
2014-09-15,+8%
2014-09-16,-4%
2014-09-17,+5%
2014-09-18, 
2014-09-19, 



Top searches
house,100
real estate,25
cabin,25
minecraft house,25
edc,25
edc 2014,15
rent,15
elders react,15
minecraft houses,10
amanda perez,10
edc vegas 2014,10
beach house,10
apartment tour,10
dorm,10
edc vegas,10
orlando,10
roommate,10
reality,10
modern house,10
redline,5



Rising searches
edc vegas 2014,+750%
edc vegas,+200%
modern house,+90%
dorm,+80%
edc 2014,+80%
small house,+50%
tiny house,+50%
apartment tour,+40%
edc,+40%
minecraft house,+40%



