News Search interest
United States; 2009

Interest over time
Week,Home & Garden
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,-18%
2009-01-18 - 2009-01-24,-45%
2009-01-25 - 2009-01-31,+29%
2009-02-01 - 2009-02-07,+37%
2009-02-08 - 2009-02-14,+67%
2009-02-15 - 2009-02-21,+45%
2009-02-22 - 2009-02-28,+8%
2009-03-01 - 2009-03-07,+51%
2009-03-08 - 2009-03-14,+61%
2009-03-15 - 2009-03-21,+14%
2009-03-22 - 2009-03-28,+24%
2009-03-29 - 2009-04-04,+65%
2009-04-05 - 2009-04-11,+8%
2009-04-12 - 2009-04-18,+24%
2009-04-19 - 2009-04-25,+14%
2009-04-26 - 2009-05-02,-14%
2009-05-03 - 2009-05-09,+2%
2009-05-10 - 2009-05-16,+16%
2009-05-17 - 2009-05-23,+24%
2009-05-24 - 2009-05-30,+16%
2009-05-31 - 2009-06-06,+22%
2009-06-07 - 2009-06-13,+45%
2009-06-14 - 2009-06-20,+41%
2009-06-21 - 2009-06-27,+31%
2009-06-28 - 2009-07-04,+63%
2009-07-05 - 2009-07-11,+43%
2009-07-12 - 2009-07-18,+47%
2009-07-19 - 2009-07-25,+39%
2009-07-26 - 2009-08-01,+43%
2009-08-02 - 2009-08-08,+39%
2009-08-09 - 2009-08-15,+31%
2009-08-16 - 2009-08-22,+29%
2009-08-23 - 2009-08-29,+45%
2009-08-30 - 2009-09-05,+29%
2009-09-06 - 2009-09-12,+20%
2009-09-13 - 2009-09-19,+29%
2009-09-20 - 2009-09-26,+33%
2009-09-27 - 2009-10-03,+24%
2009-10-04 - 2009-10-10,+37%
2009-10-11 - 2009-10-17,+51%
2009-10-18 - 2009-10-24,+65%
2009-10-25 - 2009-10-31,+90%
2009-11-01 - 2009-11-07,+104%
2009-11-08 - 2009-11-14,+45%
2009-11-15 - 2009-11-21,+33%
2009-11-22 - 2009-11-28,+73%
2009-11-29 - 2009-12-05,+20%
2009-12-06 - 2009-12-12,+31%
2009-12-13 - 2009-12-19,+51%
2009-12-20 - 2009-12-26,+2%
2009-12-27 - 2010-01-02,+35%



Top searches
tax credit,100
home buyer credit,55
ge,25
home depot,25
furniture,25
home buyers credit,15
shamwow,15
homebuyer credit,15
8000 tax credit,15
debt,15
drywall,15
homebuyer tax credit,10
parker,10
maytag,10
15000 tax credit,10
pool,10
refrigerator,10
led,10
coleman,10
chinese drywall,10



Rising searches
15000 tax credit,Breakout
8000 tax credit,Breakout
drywall,Breakout
homebuyer credit,Breakout
homebuyer tax credit,Breakout
shamwow,Breakout
home buyer credit,+4,850%
tax credit,+2,250%
home buyers credit,+1,500%
refrigerator,+450%



