YouTube Search interest
United States; Jan 2008 - Sep 2014

Interest over time
Week,Law & Government
2011-06-12 - 2011-06-18,-32%
2011-06-19 - 2011-06-25,-32%
2011-06-26 - 2011-07-02,-31%
2011-07-03 - 2011-07-09,-29%
2011-07-10 - 2011-07-16,-31%
2011-07-17 - 2011-07-23,-32%
2011-07-24 - 2011-07-30,-29%
2011-07-31 - 2011-08-06,-32%
2011-08-07 - 2011-08-13,-25%
2011-08-14 - 2011-08-20,-25%
2011-08-21 - 2011-08-27,-25%
2011-08-28 - 2011-09-03,-27%
2011-09-04 - 2011-09-10,-20%
2011-09-11 - 2011-09-17,-25%
2011-09-18 - 2011-09-24,-25%
2011-09-25 - 2011-10-01,-24%
2011-10-02 - 2011-10-08,-24%
2011-10-09 - 2011-10-15,-25%
2011-10-16 - 2011-10-22,-14%
2011-10-23 - 2011-10-29,-22%
2011-10-30 - 2011-11-05,-7%
2011-11-06 - 2011-11-12,-17%
2011-11-13 - 2011-11-19,-20%
2011-11-20 - 2011-11-26,-22%
2011-11-27 - 2011-12-03,-24%
2011-12-04 - 2011-12-10,-12%
2011-12-11 - 2011-12-17,-15%
2011-12-18 - 2011-12-24,-22%
2011-12-25 - 2011-12-31,-29%
2012-01-01 - 2012-01-07,-22%
2012-01-08 - 2012-01-14,-20%
2012-01-15 - 2012-01-21,-19%
2012-01-22 - 2012-01-28,-14%
2012-01-29 - 2012-02-04,-20%
2012-02-05 - 2012-02-11,-22%
2012-02-12 - 2012-02-18,-22%
2012-02-19 - 2012-02-25,-22%
2012-02-26 - 2012-03-03,-22%
2012-03-04 - 2012-03-10,-22%
2012-03-11 - 2012-03-17,-20%
2012-03-18 - 2012-03-24,-19%
2012-03-25 - 2012-03-31,-14%
2012-04-01 - 2012-04-07,-19%
2012-04-08 - 2012-04-14,-12%
2012-04-15 - 2012-04-21,-15%
2012-04-22 - 2012-04-28,-7%
2012-04-29 - 2012-05-05,-17%
2012-05-06 - 2012-05-12,-14%
2012-05-13 - 2012-05-19,-12%
2012-05-20 - 2012-05-26,-17%
2012-05-27 - 2012-06-02,-14%
2012-06-03 - 2012-06-09,-14%
2012-06-10 - 2012-06-16,-15%
2012-06-17 - 2012-06-23,-17%
2012-06-24 - 2012-06-30,-17%
2012-07-01 - 2012-07-07,-19%
2012-07-08 - 2012-07-14,-19%
2012-07-15 - 2012-07-21,-15%
2012-07-22 - 2012-07-28,-15%
2012-07-29 - 2012-08-04,-20%
2012-08-05 - 2012-08-11,-20%
2012-08-12 - 2012-08-18,-14%
2012-08-19 - 2012-08-25,-14%
2012-08-26 - 2012-09-01,-12%
2012-09-02 - 2012-09-08,-5%
