YouTube Search interest
United States; Past 12 months

Interest over time
Week,Home & Garden
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,-1%
2013-09-29 - 2013-10-05,-1%
2013-10-06 - 2013-10-12,-1%
2013-10-13 - 2013-10-19,+0%
2013-10-20 - 2013-10-26,+1%
2013-10-27 - 2013-11-02,-1%
2013-11-03 - 2013-11-09,+0%
2013-11-10 - 2013-11-16,+1%
2013-11-17 - 2013-11-23,+0%
2013-11-24 - 2013-11-30,+1%
2013-12-01 - 2013-12-07,+3%
2013-12-08 - 2013-12-14,-3%
2013-12-15 - 2013-12-21,+0%
2013-12-22 - 2013-12-28,+0%
2013-12-29 - 2014-01-04,+8%
2014-01-05 - 2014-01-11,+7%
2014-01-12 - 2014-01-18,+4%
2014-01-19 - 2014-01-25,+8%
2014-01-26 - 2014-02-01,+5%
2014-02-02 - 2014-02-08,+0%
2014-02-09 - 2014-02-15,+3%
2014-02-16 - 2014-02-22,+7%
2014-02-23 - 2014-03-01,+8%
2014-03-02 - 2014-03-08,+7%
2014-03-09 - 2014-03-15,+8%
2014-03-16 - 2014-03-22,+10%
2014-03-23 - 2014-03-29,+12%
2014-03-30 - 2014-04-05,+11%
2014-04-06 - 2014-04-12,+8%
2014-04-13 - 2014-04-19,+8%
2014-04-20 - 2014-04-26,+11%
2014-04-27 - 2014-05-03,+10%
2014-05-04 - 2014-05-10,+25%
2014-05-11 - 2014-05-17,+21%
2014-05-18 - 2014-05-24,+19%
2014-05-25 - 2014-05-31,+19%
2014-06-01 - 2014-06-07,+22%
2014-06-08 - 2014-06-14,+27%
2014-06-15 - 2014-06-21,+26%
2014-06-22 - 2014-06-28,+29%
2014-06-29 - 2014-07-05,+37%
2014-07-06 - 2014-07-12,+33%
2014-07-13 - 2014-07-19,+37%
2014-07-20 - 2014-07-26,+33%
2014-07-27 - 2014-08-02,+30%
2014-08-03 - 2014-08-09,+32%
2014-08-10 - 2014-08-16,+32%
2014-08-17 - 2014-08-23,+29%
2014-08-24 - 2014-08-30,+27%
2014-08-31 - 2014-09-06,+30%
2014-09-07 - 2014-09-13,+22%
2014-09-14 - 2014-09-20,+25%



Top searches
vines,100
chandelier,75
paint,70
chandelier sia,65
shower,60
commercial,55
trap,50
erb,50
lights,40
diy,40
bed,35
how to paint,25
becky g shower,25
saw,20
swimming pools,20
chilled,20
chainsaw,20
tool,20
chilled chaos,15
doors,15



Rising searches
becky g shower,Breakout
chandelier sia,Breakout
chandelier sia lyrics,Breakout
chandelier,+2,600%
hearthstone,+1,900%
vines,+1,600%
garden warfare,+1,050%
amc movie talk,+400%
amc,+250%
shower,+130%



