Image Search interest
United States; 2011

Interest over time
Week,Finance
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,-2%
2011-01-16 - 2011-01-22,-2%
2011-01-23 - 2011-01-29,+3%
2011-01-30 - 2011-02-05,+1%
2011-02-06 - 2011-02-12,+1%
2011-02-13 - 2011-02-19,+0%
2011-02-20 - 2011-02-26,-1%
2011-02-27 - 2011-03-05,+2%
2011-03-06 - 2011-03-12,+1%
2011-03-13 - 2011-03-19,-2%
2011-03-20 - 2011-03-26,+2%
2011-03-27 - 2011-04-02,-1%
2011-04-03 - 2011-04-09,+3%
2011-04-10 - 2011-04-16,+9%
2011-04-17 - 2011-04-23,-3%
2011-04-24 - 2011-04-30,+2%
2011-05-01 - 2011-05-07,-1%
2011-05-08 - 2011-05-14,-4%
2011-05-15 - 2011-05-21,-4%
2011-05-22 - 2011-05-28,-2%
2011-05-29 - 2011-06-04,-7%
2011-06-05 - 2011-06-11,-11%
2011-06-12 - 2011-06-18,-2%
2011-06-19 - 2011-06-25,-8%
2011-06-26 - 2011-07-02,-8%
2011-07-03 - 2011-07-09,-5%
2011-07-10 - 2011-07-16,+1%
2011-07-17 - 2011-07-23,-2%
2011-07-24 - 2011-07-30,-4%
2011-07-31 - 2011-08-06,-5%
2011-08-07 - 2011-08-13,-2%
2011-08-14 - 2011-08-20,-3%
2011-08-21 - 2011-08-27,-5%
2011-08-28 - 2011-09-03,-10%
2011-09-04 - 2011-09-10,-8%
2011-09-11 - 2011-09-17,-5%
2011-09-18 - 2011-09-24,-1%
2011-09-25 - 2011-10-01,-1%
2011-10-02 - 2011-10-08,+2%
2011-10-09 - 2011-10-15,-1%
2011-10-16 - 2011-10-22,-2%
2011-10-23 - 2011-10-29,-7%
2011-10-30 - 2011-11-05,-5%
2011-11-06 - 2011-11-12,-4%
2011-11-13 - 2011-11-19,+0%
2011-11-20 - 2011-11-26,-16%
2011-11-27 - 2011-12-03,+0%
2011-12-04 - 2011-12-10,-2%
2011-12-11 - 2011-12-17,+0%
2011-12-18 - 2011-12-24,-17%
2011-12-25 - 2011-12-31,-22%



Top searches
money,100
bank,90
card,80
credit,70
insurance,45
credit card,40
chase,35
dollar,30
stock,25
check,25
fx,25
bank of america,20
currency,20
tax,20
wells fargo,15
penny,15
banks,15
cash,15
visa,15
capital,15



Rising searches
mlp,+2,250%
sharp fx,+150%
danica,+90%
archer fx,+80%
wells fargo,+80%
promise,+70%
promise rings,+70%
allstate,+50%
capital one,+50%
debit card,+50%



