Google Shopping interest
United States; Past 7 days

Interest over time
Day,Shopping
2014-09-13,+0%
2014-09-14,+2%
2014-09-15,-2%
2014-09-16,-5%
2014-09-17, 
2014-09-18, 
2014-09-19, 



Top searches
shoes,100
boots,75
nike,65
dress,60
costumes,55
amazon,45
walmart,40
dresses,40
ebay,35
xbox,25
halloween costumes,25
adidas,20
watches,20
target,20
halloween costume,15
lego,15
ipod,15
xbox 360,15
nike shoes,10
michael kors,10



Rising searches
iphone 6,+190%
old navy,+100%
uggs,+90%
elsa costume,+70%
nerf guns,+50%
hoodies,+40%
north face,+40%
timberland boots,+40%
toys r us,+40%



