Image Search interest
United States; 2013

Interest over time
Week,News
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,-5%
2013-01-20 - 2013-01-26,-5%
2013-01-27 - 2013-02-02,-15%
2013-02-03 - 2013-02-09,-13%
2013-02-10 - 2013-02-16,-17%
2013-02-17 - 2013-02-23,-12%
2013-02-24 - 2013-03-02,-10%
2013-03-03 - 2013-03-09,-12%
2013-03-10 - 2013-03-16,-13%
2013-03-17 - 2013-03-23,-13%
2013-03-24 - 2013-03-30,-10%
2013-03-31 - 2013-04-06,+0%
2013-04-07 - 2013-04-13,-7%
2013-04-14 - 2013-04-20,-8%
2013-04-21 - 2013-04-27,-17%
2013-04-28 - 2013-05-04,-12%
2013-05-05 - 2013-05-11,-10%
2013-05-12 - 2013-05-18,-15%
2013-05-19 - 2013-05-25,-10%
2013-05-26 - 2013-06-01,-3%
2013-06-02 - 2013-06-08,-5%
2013-06-09 - 2013-06-15,-2%
2013-06-16 - 2013-06-22,+5%
2013-06-23 - 2013-06-29,+5%
2013-06-30 - 2013-07-06,+5%
2013-07-07 - 2013-07-13,+7%
2013-07-14 - 2013-07-20,+5%
2013-07-21 - 2013-07-27,+12%
2013-07-28 - 2013-08-03,+2%
2013-08-04 - 2013-08-10,+0%
2013-08-11 - 2013-08-17,-2%
2013-08-18 - 2013-08-24,+0%
2013-08-25 - 2013-08-31,+28%
2013-09-01 - 2013-09-07,+2%
2013-09-08 - 2013-09-14,-2%
2013-09-15 - 2013-09-21,-7%
2013-09-22 - 2013-09-28,-7%
2013-09-29 - 2013-10-05,-8%
2013-10-06 - 2013-10-12,-7%
2013-10-13 - 2013-10-19,-8%
2013-10-20 - 2013-10-26,-10%
2013-10-27 - 2013-11-02,-12%
2013-11-03 - 2013-11-09,-10%
2013-11-10 - 2013-11-16,-3%
2013-11-17 - 2013-11-23,-2%
2013-11-24 - 2013-11-30,+2%
2013-12-01 - 2013-12-07,+67%
2013-12-08 - 2013-12-14,+2%
2013-12-15 - 2013-12-21,+3%
2013-12-22 - 2013-12-28,+8%
2013-12-29 - 2014-01-04,+15%



Top searches
miley cyrus,100
kim kardashian,60
paul walker,35
weather,30
amanda bynes,25
news,20
obama,15
jennifer aniston,15
vanessa hudgens,15
celebrities,15
khloe kardashian,15
zac efron,15
ryan gosling,15
kim kardashian baby,10
megan fox,10
kendall jenner,10
britney spears,10
miley cyrus 2013,10
mila kunis,10
james franco,10



Rising searches
katherine webb,Breakout
miley cyrus 2013,Breakout
kim kardashian baby,+2,650%
paul walker,+1,550%
amanda bynes,+300%
dave franco,+190%
james franco,+110%
jaden smith,+100%
chief keef,+90%
weather,+80%



