Web Search interest
United States; 2006

Interest over time
Week,Science
2006-01-01 - 2006-01-07,+0%
2006-01-08 - 2006-01-14,+25%
2006-01-15 - 2006-01-21,+21%
2006-01-22 - 2006-01-28,+25%
2006-01-29 - 2006-02-04,+32%
2006-02-05 - 2006-02-11,+32%
2006-02-12 - 2006-02-18,+23%
2006-02-19 - 2006-02-25,+25%
2006-02-26 - 2006-03-04,+27%
2006-03-05 - 2006-03-11,+26%
2006-03-12 - 2006-03-18,+22%
2006-03-19 - 2006-03-25,+23%
2006-03-26 - 2006-04-01,+25%
2006-04-02 - 2006-04-08,+29%
2006-04-09 - 2006-04-15,+19%
2006-04-16 - 2006-04-22,+27%
2006-04-23 - 2006-04-29,+37%
2006-04-30 - 2006-05-06,+27%
2006-05-07 - 2006-05-13,+26%
2006-05-14 - 2006-05-20,+19%
2006-05-21 - 2006-05-27,+12%
2006-05-28 - 2006-06-03,+8%
2006-06-04 - 2006-06-10,+3%
2006-06-11 - 2006-06-17,-4%
2006-06-18 - 2006-06-24,-7%
2006-06-25 - 2006-07-01,-12%
2006-07-02 - 2006-07-08,-15%
2006-07-09 - 2006-07-15,-12%
2006-07-16 - 2006-07-22,-10%
2006-07-23 - 2006-07-29,-14%
2006-07-30 - 2006-08-05,-14%
2006-08-06 - 2006-08-12,-12%
2006-08-13 - 2006-08-19,-10%
2006-08-20 - 2006-08-26,+0%
2006-08-27 - 2006-09-02,+5%
2006-09-03 - 2006-09-09,+16%
2006-09-10 - 2006-09-16,+22%
2006-09-17 - 2006-09-23,+27%
2006-09-24 - 2006-09-30,+30%
2006-10-01 - 2006-10-07,+29%
2006-10-08 - 2006-10-14,+25%
2006-10-15 - 2006-10-21,+25%
2006-10-22 - 2006-10-28,+23%
2006-10-29 - 2006-11-04,+23%
2006-11-05 - 2006-11-11,+19%
2006-11-12 - 2006-11-18,+25%
2006-11-19 - 2006-11-25,-5%
2006-11-26 - 2006-12-02,+18%
2006-12-03 - 2006-12-09,+23%
2006-12-10 - 2006-12-16,+14%
2006-12-17 - 2006-12-23,-8%
2006-12-24 - 2006-12-30,-38%
2006-12-31 - 2007-01-06,-14%



Top searches
science,100
math,85
earth,35
chemistry,30
periodic table,30
physics,30
biology,30
animals,25
dna,25
help,20
science fair,20
global warming,20
brain,20
science projects,20
algebra,20
ocean,20
triangle,15
autocad,15
evolution,15
planets,15



Rising searches
an inconvenient truth,Breakout
inconvenient truth,Breakout
ajax,+70%
bed bugs,+70%
global warming,+70%
pluto,+60%
ruby,+60%
earth day,+50%
soa,+50%
meteor shower,+40%



