News Search interest
United States; Past 30 days

Interest over time
Day,Games
2014-08-19,+0%
2014-08-20,-5%
2014-08-21,-3%
2014-08-22,+3%
2014-08-23,+11%
2014-08-24,+27%
2014-08-25,+0%
2014-08-26,-1%
2014-08-27,-1%
2014-08-28,-5%
2014-08-29,-1%
2014-08-30,+8%
2014-08-31,+8%
2014-09-01,+3%
2014-09-02,-9%
2014-09-03,-6%
2014-09-04,-4%
2014-09-05,-6%
2014-09-06,+8%
2014-09-07,+1%
2014-09-08,-11%
2014-09-09,-6%
2014-09-10,-5%
2014-09-11,-4%
2014-09-12,+15%
2014-09-13,+11%
2014-09-14,+3%
2014-09-15,-11%
2014-09-16,-6%
2014-09-17, 
2014-09-18, 



Top searches
xbox,100
ps4,65
xbox one,65
games,45
gta,35
game,35
lottery,35
smash bros,35
nintendo,30
playstation,30
wii,30
madden,30
pokemon,25
wii u,25
destiny,25
super smash bros,25
madden 15,25
minecraft,20
gta 5,20
xbox 360,20



Rising searches
psn,+180%
sims 4,+160%
diablo 3,+120%
destiny,+70%
fifa 15,+60%
smash bros,+60%
super smash bros,+60%
xbox one minecraft,+60%
video games,+50%
madden,+40%



