Image Search interest
United States; 2008

Interest over time
Week,Books & Literature
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+11%
2008-01-20 - 2008-01-26,-4%
2008-01-27 - 2008-02-02,-4%
2008-02-03 - 2008-02-09,-6%
2008-02-10 - 2008-02-16,+0%
2008-02-17 - 2008-02-23,+3%
2008-02-24 - 2008-03-01,+7%
2008-03-02 - 2008-03-08,+6%
2008-03-09 - 2008-03-15,+0%
2008-03-16 - 2008-03-22,-7%
2008-03-23 - 2008-03-29,-4%
2008-03-30 - 2008-04-05,+0%
2008-04-06 - 2008-04-12,+3%
2008-04-13 - 2008-04-19,+0%
2008-04-20 - 2008-04-26,-3%
2008-04-27 - 2008-05-03,+0%
2008-05-04 - 2008-05-10,+1%
2008-05-11 - 2008-05-17,+6%
2008-05-18 - 2008-05-24,+11%
2008-05-25 - 2008-05-31,+2%
2008-06-01 - 2008-06-07,-8%
2008-06-08 - 2008-06-14,-16%
2008-06-15 - 2008-06-21,-26%
2008-06-22 - 2008-06-28,-33%
2008-06-29 - 2008-07-05,-30%
2008-07-06 - 2008-07-12,-26%
2008-07-13 - 2008-07-19,-16%
2008-07-20 - 2008-07-26,-30%
2008-07-27 - 2008-08-02,-27%
2008-08-03 - 2008-08-09,-30%
2008-08-10 - 2008-08-16,-26%
2008-08-17 - 2008-08-23,+7%
2008-08-24 - 2008-08-30,-17%
2008-08-31 - 2008-09-06,-17%
2008-09-07 - 2008-09-13,-11%
2008-09-14 - 2008-09-20,-8%
2008-09-21 - 2008-09-27,-8%
2008-09-28 - 2008-10-04,-4%
2008-10-05 - 2008-10-11,+1%
2008-10-12 - 2008-10-18,-4%
2008-10-19 - 2008-10-25,+0%
2008-10-26 - 2008-11-01,+1%
2008-11-02 - 2008-11-08,-3%
2008-11-09 - 2008-11-15,-3%
2008-11-16 - 2008-11-22,+3%
2008-11-23 - 2008-11-29,-9%
2008-11-30 - 2008-12-06,+4%
2008-12-07 - 2008-12-13,+12%
2008-12-14 - 2008-12-20,+10%
2008-12-21 - 2008-12-27,-18%
2008-12-28 - 2009-01-03,-17%



Top searches
book,100
quotes,70
magazine,55
books,50
harry potter,40
pooh,40
marilyn,30
poems,30
marilyn monroe,30
martin luther king,30
romeo,25
winnie the pooh,25
juliet,25
alice in wonderland,25
romeo and juliet,20
amor,20
shakespeare,20
maxim,15
magazine cover,15
outsiders,15



Rising searches
leryn franco,Breakout
prince caspian,+400%
new yorker,+300%
de amor,+110%
amor,+90%
jennifer aniston,+80%
narnia,+80%
martin luther king,+60%
poemas,+50%
sayings,+50%



