Web Search interest
United States; 2007

Interest over time
Week,Internet & Telecom
2007-01-07 - 2007-01-13,+0%
2007-01-14 - 2007-01-20,-7%
2007-01-21 - 2007-01-27,-7%
2007-01-28 - 2007-02-03,-8%
2007-02-04 - 2007-02-10,-10%
2007-02-11 - 2007-02-17,-9%
2007-02-18 - 2007-02-24,-10%
2007-02-25 - 2007-03-03,-11%
2007-03-04 - 2007-03-10,-9%
2007-03-11 - 2007-03-17,-9%
2007-03-18 - 2007-03-24,-11%
2007-03-25 - 2007-03-31,-10%
2007-04-01 - 2007-04-07,-11%
2007-04-08 - 2007-04-14,-11%
2007-04-15 - 2007-04-21,-10%
2007-04-22 - 2007-04-28,-11%
2007-04-29 - 2007-05-05,-12%
2007-05-06 - 2007-05-12,-11%
2007-05-13 - 2007-05-19,-9%
2007-05-20 - 2007-05-26,-10%
2007-05-27 - 2007-06-02,-9%
2007-06-03 - 2007-06-09,-5%
2007-06-10 - 2007-06-16,-6%
2007-06-17 - 2007-06-23,+0%
2007-06-24 - 2007-06-30,+2%
2007-07-01 - 2007-07-07,+1%
2007-07-08 - 2007-07-14,-1%
2007-07-15 - 2007-07-21,-1%
2007-07-22 - 2007-07-28,-4%
2007-07-29 - 2007-08-04,+0%
2007-08-05 - 2007-08-11,-3%
2007-08-12 - 2007-08-18,-2%
2007-08-19 - 2007-08-25,-4%
2007-08-26 - 2007-09-01,-3%
2007-09-02 - 2007-09-08,-2%
2007-09-09 - 2007-09-15,-3%
2007-09-16 - 2007-09-22,-4%
2007-09-23 - 2007-09-29,-8%
2007-09-30 - 2007-10-06,-6%
2007-10-07 - 2007-10-13,-6%
2007-10-14 - 2007-10-20,-7%
2007-10-21 - 2007-10-27,-9%
2007-10-28 - 2007-11-03,-6%
2007-11-04 - 2007-11-10,-9%
2007-11-11 - 2007-11-17,-4%
2007-11-18 - 2007-11-24,-1%
2007-11-25 - 2007-12-01,-3%
2007-12-02 - 2007-12-08,-2%
2007-12-09 - 2007-12-15,-6%
2007-12-16 - 2007-12-22,-6%
2007-12-23 - 2007-12-29,+4%
2007-12-30 - 2008-01-05,-1%



Top searches
mail,100
yahoo,100
verizon,85
msn,75
google,65
aol,60
yahoo mail,55
cingular,40
email,35
aim,30
iphone,30
blackberry,30
web,30
sprint,30
motorola,25
comcast,25
verizon wireless,25
cell phone,25
internet,25
messenger,20



Rising searches
iphone,Breakout
att wireless,+1,150%
i phone,+350%
att,+200%
blackberry pearl,+200%
htc,+200%
at&t,+140%
fios,+80%
windows live,+80%
yahoo.com,+60%



