YouTube Search interest
United States; 2012

Interest over time
Week,Travel
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+4%
2012-01-15 - 2012-01-21,+14%
2012-01-22 - 2012-01-28,+4%
2012-01-29 - 2012-02-04,+0%
2012-02-05 - 2012-02-11,-3%
2012-02-12 - 2012-02-18,+0%
2012-02-19 - 2012-02-25,+1%
2012-02-26 - 2012-03-03,+6%
2012-03-04 - 2012-03-10,+10%
2012-03-11 - 2012-03-17,+3%
2012-03-18 - 2012-03-24,+4%
2012-03-25 - 2012-03-31,+7%
2012-04-01 - 2012-04-07,+13%
2012-04-08 - 2012-04-14,+11%
2012-04-15 - 2012-04-21,+11%
2012-04-22 - 2012-04-28,+13%
2012-04-29 - 2012-05-05,+8%
2012-05-06 - 2012-05-12,+6%
2012-05-13 - 2012-05-19,+11%
2012-05-20 - 2012-05-26,+11%
2012-05-27 - 2012-06-02,+23%
2012-06-03 - 2012-06-09,+14%
2012-06-10 - 2012-06-16,+21%
2012-06-17 - 2012-06-23,+39%
2012-06-24 - 2012-06-30,+31%
2012-07-01 - 2012-07-07,+25%
2012-07-08 - 2012-07-14,+25%
2012-07-15 - 2012-07-21,+24%
2012-07-22 - 2012-07-28,+24%
2012-07-29 - 2012-08-04,+21%
2012-08-05 - 2012-08-11,+20%
2012-08-12 - 2012-08-18,+23%
2012-08-19 - 2012-08-25,+21%
2012-08-26 - 2012-09-01,+17%
2012-09-02 - 2012-09-08,+14%
2012-09-09 - 2012-09-15,+17%
2012-09-16 - 2012-09-22,+20%
2012-09-23 - 2012-09-29,+15%
2012-09-30 - 2012-10-06,+20%
2012-10-07 - 2012-10-13,+24%
2012-10-14 - 2012-10-20,+41%
2012-10-21 - 2012-10-27,+25%
2012-10-28 - 2012-11-03,+25%
2012-11-04 - 2012-11-10,+20%
2012-11-11 - 2012-11-17,+21%
2012-11-18 - 2012-11-24,+20%
2012-11-25 - 2012-12-01,+24%
2012-12-02 - 2012-12-08,+28%
2012-12-09 - 2012-12-15,+25%
2012-12-16 - 2012-12-22,+28%
2012-12-23 - 2012-12-29,+27%
2012-12-30 - 2013-01-05,+25%



Top searches
some nights,100
train,95
cruise,95
ride,85
weeknd,85
the weeknd,75
disney,70
fun some nights,70
bus,55
roller coaster,55
beach,55
six flags,50
disney world,40
vegas,40
disneyland,40
trinidad,40
train drive by,35
flight,35
stay,35
trinidad james,35



Rising searches
fun some nights,Breakout
some nights,Breakout
stay schemin,Breakout
train drive by,Breakout
trinidad james,Breakout
trinidad,+800%
stay,+500%
cruise,+190%
the weeknd,+120%
weeknd,+120%



