Web Search interest
United States; Past 90 days

Interest over time
Day,Computers & Electronics
2014-06-18,+0%
2014-06-19,+0%
2014-06-20,-4%
2014-06-21,-20%
2014-06-22,-17%
2014-06-23,-5%
2014-06-24,-2%
2014-06-25,+0%
2014-06-26,-2%
2014-06-27,-4%
2014-06-28,-17%
2014-06-29,-16%
2014-06-30,-5%
2014-07-01,-4%
2014-07-02,-6%
2014-07-03,-5%
2014-07-04,-17%
2014-07-05,-21%
2014-07-06,-17%
2014-07-07,-1%
2014-07-08,-1%
2014-07-09,+0%
2014-07-10,+0%
2014-07-11,-1%
2014-07-12,-18%
2014-07-13,-18%
2014-07-14,-4%
2014-07-15,+0%
2014-07-16,+1%
2014-07-17,+1%
2014-07-18,-2%
2014-07-19,-15%
2014-07-20,-16%
2014-07-21,-2%
2014-07-22,+2%
2014-07-23,+2%
2014-07-24,+1%
2014-07-25,-1%
2014-07-26,-15%
2014-07-27,-16%
2014-07-28,-1%
2014-07-29,+1%
2014-07-30,+0%
2014-07-31,+1%
2014-08-01,-2%
2014-08-02,-15%
2014-08-03,-13%
2014-08-04,-1%
2014-08-05,+2%
2014-08-06,+0%
2014-08-07,+4%
2014-08-08,-4%
2014-08-09,-12%
2014-08-10,-13%
2014-08-11,-2%
2014-08-12,-2%
2014-08-13,+2%
2014-08-14,+0%
2014-08-15,-1%
2014-08-16,-16%
2014-08-17,-13%
2014-08-18,+0%
2014-08-19,+1%
2014-08-20,+1%
2014-08-21,+0%
2014-08-22,-1%
2014-08-23,-13%
2014-08-24,-11%
2014-08-25,+1%
2014-08-26,+5%
2014-08-27,+5%
2014-08-28,+2%
2014-08-29,-1%
2014-08-30,-13%
2014-08-31,-15%
2014-09-01,-11%
2014-09-02,+0%
2014-09-03,+4%
2014-09-04,+4%
2014-09-05,+1%
2014-09-06,-16%
2014-09-07,-12%
2014-09-08,+1%
2014-09-09,+22%
2014-09-10,+10%
2014-09-11,+2%
2014-09-12,+6%
2014-09-13,-12%
2014-09-14,-12%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
google,100
free,80
apple,70
mac,60
chrome,45
xbox,45
hp,40
microsoft,35
drive,35
itunes,30
amazon,25
paypal,25
dell,25
apps,25
adobe,25
ipad,25
java,25
emoji,25
best buy,20
sony,20



Rising searches
no flex zone,+2,200%
guess the emoji,+1,500%
emoji answers,+850%
emoji,+300%
lucy,+190%
galaxy note 4,+180%
iphone 6,+180%
2go,+110%
whats my ip,+60%
ios 8,+50%



