YouTube Search interest
United States; Jan 2008 - Sep 2014

Interest over time
Week,Beauty & Fitness
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,-2%
2008-01-20 - 2008-01-26,-5%
2008-01-27 - 2008-02-02,+0%
2008-02-03 - 2008-02-09,-8%
2008-02-10 - 2008-02-16,-11%
2008-02-17 - 2008-02-23,-7%
2008-02-24 - 2008-03-01,-5%
2008-03-02 - 2008-03-08,-10%
2008-03-09 - 2008-03-15,-5%
2008-03-16 - 2008-03-22,-10%
2008-03-23 - 2008-03-29,-10%
2008-03-30 - 2008-04-05,-10%
2008-04-06 - 2008-04-12,-10%
2008-04-13 - 2008-04-19,-5%
2008-04-20 - 2008-04-26,-8%
2008-04-27 - 2008-05-03,-8%
2008-05-04 - 2008-05-10,-7%
2008-05-11 - 2008-05-17,-8%
2008-05-18 - 2008-05-24,-10%
2008-05-25 - 2008-05-31,-11%
2008-06-01 - 2008-06-07,-10%
2008-06-08 - 2008-06-14,-13%
2008-06-15 - 2008-06-21,-10%
2008-06-22 - 2008-06-28,-13%
2008-06-29 - 2008-07-05,-11%
2008-07-06 - 2008-07-12,-10%
2008-07-13 - 2008-07-19,+10%
2008-07-20 - 2008-07-26,-11%
2008-07-27 - 2008-08-02,-11%
2008-08-03 - 2008-08-09,-10%
2008-08-10 - 2008-08-16,-5%
2008-08-17 - 2008-08-23,-7%
2008-08-24 - 2008-08-30,-11%
2008-08-31 - 2008-09-06,-15%
2008-09-07 - 2008-09-13,-11%
2008-09-14 - 2008-09-20,-16%
2008-09-21 - 2008-09-27,-11%
2008-09-28 - 2008-10-04,-13%
2008-10-05 - 2008-10-11,-16%
2008-10-12 - 2008-10-18,-16%
2008-10-19 - 2008-10-25,-15%
2008-10-26 - 2008-11-01,-13%
2008-11-02 - 2008-11-08,-20%
2008-11-09 - 2008-11-15,-15%
2008-11-16 - 2008-11-22,-15%
2008-11-23 - 2008-11-29,-16%
2008-11-30 - 2008-12-06,-13%
2008-12-07 - 2008-12-13,-16%
2008-12-14 - 2008-12-20,-15%
2008-12-21 - 2008-12-27,-18%
2008-12-28 - 2009-01-03,-7%
2009-01-04 - 2009-01-10,-5%
2009-01-11 - 2009-01-17,-8%
2009-01-18 - 2009-01-24,-5%
2009-01-25 - 2009-01-31,-5%
2009-02-01 - 2009-02-07,-10%
2009-02-08 - 2009-02-14,-15%
2009-02-15 - 2009-02-21,-11%
2009-02-22 - 2009-02-28,-11%
2009-03-01 - 2009-03-07,-7%
2009-03-08 - 2009-03-14,-3%
2009-03-15 - 2009-03-21,-8%
2009-03-22 - 2009-03-28,-8%
2009-03-29 - 2009-04-04,-7%
2009-04-05 - 2009-04-11,-10%
2009-04-12 - 2009-04-18,-8%
2009-04-19 - 2009-04-25,+5%
2009-04-26 - 2009-05-02,-3%
2009-05-03 - 2009-05-09,-5%
2009-05-10 - 2009-05-16,-2%
2009-05-17 - 2009-05-23,-5%
2009-05-24 - 2009-05-30,-7%
2009-05-31 - 2009-06-06,-8%
2009-06-07 - 2009-06-13,-3%
2009-06-14 - 2009-06-20,-2%
2009-06-21 - 2009-06-27,-8%
2009-06-28 - 2009-07-04,-10%
2009-07-05 - 2009-07-11,-8%
2009-07-12 - 2009-07-18,-2%
2009-07-19 - 2009-07-25,-5%
2009-07-26 - 2009-08-01,-3%
2009-08-02 - 2009-08-08,+0%
2009-08-09 - 2009-08-15,+0%
2009-08-16 - 2009-08-22,-2%
2009-08-23 - 2009-08-29,+10%
2009-08-30 - 2009-09-05,-5%
2009-09-06 - 2009-09-12,-2%
2009-09-13 - 2009-09-19,-10%
2009-09-20 - 2009-09-26,-3%
2009-09-27 - 2009-10-03,+0%
2009-10-04 - 2009-10-10,-3%
2009-10-11 - 2009-10-17,-2%
2009-10-18 - 2009-10-24,+0%
2009-10-25 - 2009-10-31,+5%
2009-11-01 - 2009-11-07,-7%
2009-11-08 - 2009-11-14,-5%
2009-11-15 - 2009-11-21,-3%
2009-11-22 - 2009-11-28,-7%
2009-11-29 - 2009-12-05,-2%
2009-12-06 - 2009-12-12,-5%
2009-12-13 - 2009-12-19,-7%
2009-12-20 - 2009-12-26,-10%
2009-12-27 - 2010-01-02,+2%
2010-01-03 - 2010-01-09,+10%
2010-01-10 - 2010-01-16,+3%
2010-01-17 - 2010-01-23,+5%
2010-01-24 - 2010-01-30,+8%
2010-01-31 - 2010-02-06,+8%
2010-02-07 - 2010-02-13,+5%
2010-02-14 - 2010-02-20,+3%
2010-02-21 - 2010-02-27,+5%
2010-02-28 - 2010-03-06,+2%
2010-03-07 - 2010-03-13,+2%
2010-03-14 - 2010-03-20,+5%
2010-03-21 - 2010-03-27,+5%
2010-03-28 - 2010-04-03,+0%
2010-04-04 - 2010-04-10,+7%
2010-04-11 - 2010-04-17,+10%
2010-04-18 - 2010-04-24,+8%
2010-04-25 - 2010-05-01,+3%
2010-05-02 - 2010-05-08,+2%
2010-05-09 - 2010-05-15,+5%
2010-05-16 - 2010-05-22,+10%
2010-05-23 - 2010-05-29,+5%
2010-05-30 - 2010-06-05,+7%
2010-06-06 - 2010-06-12,+2%
2010-06-13 - 2010-06-19,+3%
2010-06-20 - 2010-06-26,+2%
2010-06-27 - 2010-07-03,+2%
2010-07-04 - 2010-07-10,+7%
2010-07-11 - 2010-07-17,+11%
2010-07-18 - 2010-07-24,+11%
2010-07-25 - 2010-07-31,+10%
2010-08-01 - 2010-08-07,+7%
2010-08-08 - 2010-08-14,+8%
2010-08-15 - 2010-08-21,+8%
2010-08-22 - 2010-08-28,+20%
2010-08-29 - 2010-09-04,+5%
2010-09-05 - 2010-09-11,+13%
2010-09-12 - 2010-09-18,+10%
2010-09-19 - 2010-09-25,+7%
2010-09-26 - 2010-10-02,+8%
2010-10-03 - 2010-10-09,+8%
2010-10-10 - 2010-10-16,+8%
2010-10-17 - 2010-10-23,+39%
2010-10-24 - 2010-10-30,+33%
2010-10-31 - 2010-11-06,+21%
2010-11-07 - 2010-11-13,+18%
2010-11-14 - 2010-11-20,+20%
2010-11-21 - 2010-11-27,+13%
2010-11-28 - 2010-12-04,+15%
2010-12-05 - 2010-12-11,+8%
2010-12-12 - 2010-12-18,+8%
2010-12-19 - 2010-12-25,+10%
2010-12-26 - 2011-01-01,+18%
2011-01-02 - 2011-01-08,+30%
2011-01-09 - 2011-01-15,+28%
2011-01-16 - 2011-01-22,+33%
2011-01-23 - 2011-01-29,+25%
2011-01-30 - 2011-02-05,+25%
2011-02-06 - 2011-02-12,+20%
2011-02-13 - 2011-02-19,+20%
2011-02-20 - 2011-02-26,+20%
2011-02-27 - 2011-03-05,+25%
2011-03-06 - 2011-03-12,+21%
2011-03-13 - 2011-03-19,+18%
2011-03-20 - 2011-03-26,+15%
2011-03-27 - 2011-04-02,+18%
2011-04-03 - 2011-04-09,+20%
2011-04-10 - 2011-04-16,+21%
2011-04-17 - 2011-04-23,+18%
2011-04-24 - 2011-04-30,+15%
2011-05-01 - 2011-05-07,+20%
2011-05-08 - 2011-05-14,+18%
2011-05-15 - 2011-05-21,+21%
2011-05-22 - 2011-05-28,+23%
2011-05-29 - 2011-06-04,+20%
2011-06-05 - 2011-06-11,+21%
2011-06-12 - 2011-06-18,+20%
2011-06-19 - 2011-06-25,+21%
2011-06-26 - 2011-07-02,+25%
2011-07-03 - 2011-07-09,+21%
2011-07-10 - 2011-07-16,+26%
2011-07-17 - 2011-07-23,+23%
2011-07-24 - 2011-07-30,+28%
2011-07-31 - 2011-08-06,+25%
2011-08-07 - 2011-08-13,+23%
2011-08-14 - 2011-08-20,+25%
2011-08-21 - 2011-08-27,+20%
2011-08-28 - 2011-09-03,+18%
2011-09-04 - 2011-09-10,+23%
2011-09-11 - 2011-09-17,+28%
2011-09-18 - 2011-09-24,+23%
2011-09-25 - 2011-10-01,+28%
2011-10-02 - 2011-10-08,+25%
2011-10-09 - 2011-10-15,+26%
2011-10-16 - 2011-10-22,+25%
2011-10-23 - 2011-10-29,+31%
2011-10-30 - 2011-11-05,+25%
2011-11-06 - 2011-11-12,+25%
2011-11-13 - 2011-11-19,+26%
2011-11-20 - 2011-11-26,+25%
2011-11-27 - 2011-12-03,+30%
2011-12-04 - 2011-12-10,+34%
2011-12-11 - 2011-12-17,+25%
2011-12-18 - 2011-12-24,+26%
2011-12-25 - 2011-12-31,+41%
2012-01-01 - 2012-01-07,+44%
2012-01-08 - 2012-01-14,+41%
2012-01-15 - 2012-01-21,+48%
2012-01-22 - 2012-01-28,+39%
2012-01-29 - 2012-02-04,+39%
2012-02-05 - 2012-02-11,+41%
2012-02-12 - 2012-02-18,+26%
2012-02-19 - 2012-02-25,+38%
2012-02-26 - 2012-03-03,+38%
2012-03-04 - 2012-03-10,+36%
2012-03-11 - 2012-03-17,+38%
2012-03-18 - 2012-03-24,+33%
2012-03-25 - 2012-03-31,+31%
2012-04-01 - 2012-04-07,+31%
2012-04-08 - 2012-04-14,+34%
2012-04-15 - 2012-04-21,+36%
2012-04-22 - 2012-04-28,+34%
2012-04-29 - 2012-05-05,+34%
2012-05-06 - 2012-05-12,+39%
2012-05-13 - 2012-05-19,+38%
2012-05-20 - 2012-05-26,+39%
2012-05-27 - 2012-06-02,+43%
2012-06-03 - 2012-06-09,+46%
2012-06-10 - 2012-06-16,+44%
2012-06-17 - 2012-06-23,+41%
2012-06-24 - 2012-06-30,+46%
2012-07-01 - 2012-07-07,+43%
2012-07-08 - 2012-07-14,+43%
2012-07-15 - 2012-07-21,+49%
2012-07-22 - 2012-07-28,+44%
2012-07-29 - 2012-08-04,+49%
2012-08-05 - 2012-08-11,+54%
2012-08-12 - 2012-08-18,+43%
2012-08-19 - 2012-08-25,+46%
2012-08-26 - 2012-09-01,+39%
2012-09-02 - 2012-09-08,+34%
2012-09-09 - 2012-09-15,+38%
2012-09-16 - 2012-09-22,+36%
2012-09-23 - 2012-09-29,+33%
2012-09-30 - 2012-10-06,+41%
2012-10-07 - 2012-10-13,+38%
2012-10-14 - 2012-10-20,+43%
2012-10-21 - 2012-10-27,+56%
2012-10-28 - 2012-11-03,+44%
2012-11-04 - 2012-11-10,+43%
2012-11-11 - 2012-11-17,+43%
2012-11-18 - 2012-11-24,+34%
2012-11-25 - 2012-12-01,+44%
2012-12-02 - 2012-12-08,+49%
2012-12-09 - 2012-12-15,+39%
2012-12-16 - 2012-12-22,+44%
2012-12-23 - 2012-12-29,+44%
2012-12-30 - 2013-01-05,+51%
2013-01-06 - 2013-01-12,+49%
2013-01-13 - 2013-01-19,+56%
2013-01-20 - 2013-01-26,+57%
2013-01-27 - 2013-02-02,+51%
2013-02-03 - 2013-02-09,+49%
2013-02-10 - 2013-02-16,+41%
2013-02-17 - 2013-02-23,+51%
2013-02-24 - 2013-03-02,+57%
2013-03-03 - 2013-03-09,+51%
2013-03-10 - 2013-03-16,+49%
2013-03-17 - 2013-03-23,+49%
2013-03-24 - 2013-03-30,+51%
2013-03-31 - 2013-04-06,+46%
2013-04-07 - 2013-04-13,+43%
2013-04-14 - 2013-04-20,+51%
2013-04-21 - 2013-04-27,+54%
2013-04-28 - 2013-05-04,+44%
2013-05-05 - 2013-05-11,+48%
2013-05-12 - 2013-05-18,+48%
2013-05-19 - 2013-05-25,+51%
2013-05-26 - 2013-06-01,+54%
2013-06-02 - 2013-06-08,+52%
2013-06-09 - 2013-06-15,+48%
2013-06-16 - 2013-06-22,+59%
2013-06-23 - 2013-06-29,+54%
2013-06-30 - 2013-07-06,+56%
2013-07-07 - 2013-07-13,+64%
2013-07-14 - 2013-07-20,+57%
2013-07-21 - 2013-07-27,+59%
2013-07-28 - 2013-08-03,+62%
2013-08-04 - 2013-08-10,+54%
2013-08-11 - 2013-08-17,+56%
2013-08-18 - 2013-08-24,+54%
2013-08-25 - 2013-08-31,+43%
2013-09-01 - 2013-09-07,+48%
2013-09-08 - 2013-09-14,+41%
2013-09-15 - 2013-09-21,+56%
2013-09-22 - 2013-09-28,+44%
2013-09-29 - 2013-10-05,+48%
2013-10-06 - 2013-10-12,+46%
2013-10-13 - 2013-10-19,+49%
2013-10-20 - 2013-10-26,+46%
2013-10-27 - 2013-11-02,+49%
2013-11-03 - 2013-11-09,+39%
2013-11-10 - 2013-11-16,+39%
2013-11-17 - 2013-11-23,+39%
2013-11-24 - 2013-11-30,+33%
2013-12-01 - 2013-12-07,+38%
2013-12-08 - 2013-12-14,+34%
2013-12-15 - 2013-12-21,+34%
2013-12-22 - 2013-12-28,+38%
2013-12-29 - 2014-01-04,+51%
2014-01-05 - 2014-01-11,+57%
2014-01-12 - 2014-01-18,+51%
2014-01-19 - 2014-01-25,+56%
2014-01-26 - 2014-02-01,+41%
2014-02-02 - 2014-02-08,+41%
2014-02-09 - 2014-02-15,+44%
2014-02-16 - 2014-02-22,+44%
2014-02-23 - 2014-03-01,+49%
2014-03-02 - 2014-03-08,+51%
2014-03-09 - 2014-03-15,+48%
2014-03-16 - 2014-03-22,+49%
2014-03-23 - 2014-03-29,+51%
2014-03-30 - 2014-04-05,+48%
2014-04-06 - 2014-04-12,+48%
2014-04-13 - 2014-04-19,+48%
2014-04-20 - 2014-04-26,+49%
2014-04-27 - 2014-05-03,+56%
2014-05-04 - 2014-05-10,+46%
2014-05-11 - 2014-05-17,+51%
2014-05-18 - 2014-05-24,+52%
2014-05-25 - 2014-05-31,+51%
2014-06-01 - 2014-06-07,+57%
2014-06-08 - 2014-06-14,+52%
2014-06-15 - 2014-06-21,+48%
2014-06-22 - 2014-06-28,+59%
2014-06-29 - 2014-07-05,+59%
2014-07-06 - 2014-07-12,+59%
2014-07-13 - 2014-07-19,+57%
2014-07-20 - 2014-07-26,+59%
2014-07-27 - 2014-08-02,+56%
2014-08-03 - 2014-08-09,+59%
2014-08-10 - 2014-08-16,+54%
2014-08-17 - 2014-08-23,+49%
2014-08-24 - 2014-08-30,+41%
2014-08-31 - 2014-09-06,+48%
2014-09-07 - 2014-09-13,+46%
2014-09-14 - 2014-09-20,+54%
2014-09-21 - 2014-09-27, 
2014-09-28 - 2014-10-04, 



Top searches
hair,100
makeup,45
workout,45
hairstyles,20
makeup tutorial,15
yoga,15
abs,10
natural hair,10
tattoo,10
zumba,10
hair tutorial,10
make up,10
nails,10
haircut,10
long hair,5
michelle phan,5
whip my hair,5
work out,5
tattoos,5
fitness,5



Rising searches
michelle phan,Breakout
whip my hair,Breakout
makeup tutorial,+4,300%
hair tutorial,+4,150%
natural hair,+1,550%
hairstyles,+950%
zumba,+800%
makeup,+500%
long hair,+350%
nails,+300%



