News Search interest
United States; Past 7 days

Interest over time
Day,Games
2014-09-12,+0%
2014-09-13,-4%
2014-09-14,-7%
2014-09-15,-22%
2014-09-16,-19%
2014-09-17, 
2014-09-18, 



Top searches
xbox,100
smash bros,65
ps4,65
xbox one,60
destiny,50
playstation,45
gta,45
super smash bros,45
games,45
wii,40
iphone 6,40
game,35
wii u,35
lottery,35
playstation 4,35
nintendo,35
pokemon,30
iphone pre order,30
gta 5,25
xbox 360,25



Rising searches
iphone preorder,Breakout
iphone pre order,+250%
iphone 6,+200%
playstation 4,+150%
playstation,+80%
smash bros 4,+80%
powerball,+50%
smash bros,+50%
super smash bros,+50%



