Google Shopping interest
United States; 2013

Interest over time
Week,People & Society
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,+2%
2013-01-20 - 2013-01-26,+8%
2013-01-27 - 2013-02-02,+7%
2013-02-03 - 2013-02-09,+4%
2013-02-10 - 2013-02-16,+7%
2013-02-17 - 2013-02-23,+7%
2013-02-24 - 2013-03-02,+10%
2013-03-03 - 2013-03-09,+8%
2013-03-10 - 2013-03-16,+11%
2013-03-17 - 2013-03-23,+7%
2013-03-24 - 2013-03-30,+8%
2013-03-31 - 2013-04-06,+8%
2013-04-07 - 2013-04-13,+10%
2013-04-14 - 2013-04-20,+8%
2013-04-21 - 2013-04-27,+11%
2013-04-28 - 2013-05-04,+12%
2013-05-05 - 2013-05-11,+13%
2013-05-12 - 2013-05-18,+10%
2013-05-19 - 2013-05-25,+10%
2013-05-26 - 2013-06-01,+6%
2013-06-02 - 2013-06-08,+7%
2013-06-09 - 2013-06-15,+5%
2013-06-16 - 2013-06-22,+7%
2013-06-23 - 2013-06-29,+7%
2013-06-30 - 2013-07-06,+4%
2013-07-07 - 2013-07-13,+12%
2013-07-14 - 2013-07-20,+11%
2013-07-21 - 2013-07-27,+12%
2013-07-28 - 2013-08-03,+8%
2013-08-04 - 2013-08-10,+8%
2013-08-11 - 2013-08-17,+10%
2013-08-18 - 2013-08-24,+13%
2013-08-25 - 2013-08-31,+13%
2013-09-01 - 2013-09-07,+13%
2013-09-08 - 2013-09-14,+19%
2013-09-15 - 2013-09-21,+13%
2013-09-22 - 2013-09-28,+15%
2013-09-29 - 2013-10-05,+14%
2013-10-06 - 2013-10-12,+17%
2013-10-13 - 2013-10-19,+19%
2013-10-20 - 2013-10-26,+14%
2013-10-27 - 2013-11-02,+17%
2013-11-03 - 2013-11-09,+15%
2013-11-10 - 2013-11-16,+8%
2013-11-17 - 2013-11-23,+8%
2013-11-24 - 2013-11-30,-5%
2013-12-01 - 2013-12-07,-1%
2013-12-08 - 2013-12-14,+4%
2013-12-15 - 2013-12-21,-2%
2013-12-22 - 2013-12-28,-2%
2013-12-29 - 2014-01-04,+2%



Top searches
baby,100
wedding,90
stroller,45
car seat,30
graco,25
girls,25
wedding dresses,20
bible,20
bracelet,15
wedding dress,15
rings,10
pandora,10
diaper bag,10
diapers,10
garcinia cambogia,10
wedding bands,10
double stroller,10
maternity,10
chicco,10
high chair,10



Rising searches
garcinia cambogia,+2,700%
cool math,+250%
cool math games,+200%
horoscope,+200%
palazzo pants,+160%
etsy,+100%
nabi,+80%
baby shower ideas,+70%
girls,+70%
target,+40%



