News Search interest
United States; 2010

Interest over time
Week,Business & Industrial
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,+2%
2010-01-17 - 2010-01-23,+18%
2010-01-24 - 2010-01-30,+15%
2010-01-31 - 2010-02-06,+54%
2010-02-07 - 2010-02-13,+3%
2010-02-14 - 2010-02-20,+0%
2010-02-21 - 2010-02-27,+8%
2010-02-28 - 2010-03-06,+12%
2010-03-07 - 2010-03-13,+43%
2010-03-14 - 2010-03-20,+5%
2010-03-21 - 2010-03-27,+8%
2010-03-28 - 2010-04-03,+6%
2010-04-04 - 2010-04-10,+9%
2010-04-11 - 2010-04-17,+11%
2010-04-18 - 2010-04-24,+20%
2010-04-25 - 2010-05-01,+25%
2010-05-02 - 2010-05-08,+28%
2010-05-09 - 2010-05-15,+17%
2010-05-16 - 2010-05-22,+9%
2010-05-23 - 2010-05-29,+14%
2010-05-30 - 2010-06-05,+22%
2010-06-06 - 2010-06-12,+11%
2010-06-13 - 2010-06-19,+8%
2010-06-20 - 2010-06-26,+5%
2010-06-27 - 2010-07-03,+14%
2010-07-04 - 2010-07-10,+26%
2010-07-11 - 2010-07-17,+48%
2010-07-18 - 2010-07-24,+37%
2010-07-25 - 2010-07-31,+35%
2010-08-01 - 2010-08-07,+26%
2010-08-08 - 2010-08-14,+49%
2010-08-15 - 2010-08-21,+23%
2010-08-22 - 2010-08-28,+35%
2010-08-29 - 2010-09-04,+43%
2010-09-05 - 2010-09-11,+40%
2010-09-12 - 2010-09-18,+35%
2010-09-19 - 2010-09-25,+25%
2010-09-26 - 2010-10-02,+32%
2010-10-03 - 2010-10-09,+26%
2010-10-10 - 2010-10-16,+37%
2010-10-17 - 2010-10-23,+28%
2010-10-24 - 2010-10-30,+14%
2010-10-31 - 2010-11-06,+20%
2010-11-07 - 2010-11-13,+52%
2010-11-14 - 2010-11-20,+34%
2010-11-21 - 2010-11-27,+9%
2010-11-28 - 2010-12-04,+35%
2010-12-05 - 2010-12-11,+20%
2010-12-12 - 2010-12-18,+17%
2010-12-19 - 2010-12-25,+12%
2010-12-26 - 2011-01-01,+3%



Top searches
dow,100
dow jones,95
bp,60
oil,55
energy,40
nasa,30
new,20
goldman sachs,20
business,20
solar,15
oscar,15
space,15
mark hurd,15
bernanke,15
wall street,15
oil spill,15
water,10
bp oil,10
missile,10
oracle,10



Rising searches
mark hurd,Breakout
oil spill,Breakout
bp oil,+3,850%
bp,+2,800%
dow jones,+500%
bernanke,+250%
dow,+250%
missile,+170%
goldman sachs,+130%
oil,+100%



