YouTube Search interest
United States; Jan 2008 - Sep 2014

Interest over time
Week,Science
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+0%
2008-01-20 - 2008-01-26,+6%
2008-01-27 - 2008-02-02,+6%
2008-02-03 - 2008-02-09,+0%
2008-02-10 - 2008-02-16,+0%
2008-02-17 - 2008-02-23,+9%
2008-02-24 - 2008-03-01,+6%
2008-03-02 - 2008-03-08,+6%
2008-03-09 - 2008-03-15,+3%
2008-03-16 - 2008-03-22,+6%
2008-03-23 - 2008-03-29,+0%
2008-03-30 - 2008-04-05,+9%
2008-04-06 - 2008-04-12,+9%
2008-04-13 - 2008-04-19,+9%
2008-04-20 - 2008-04-26,+18%
2008-04-27 - 2008-05-03,+6%
2008-05-04 - 2008-05-10,+12%
2008-05-11 - 2008-05-17,+9%
2008-05-18 - 2008-05-24,+9%
2008-05-25 - 2008-05-31,+15%
2008-06-01 - 2008-06-07,+3%
2008-06-08 - 2008-06-14,+3%
2008-06-15 - 2008-06-21,-3%
2008-06-22 - 2008-06-28,+0%
2008-06-29 - 2008-07-05,+3%
2008-07-06 - 2008-07-12,-3%
2008-07-13 - 2008-07-19,+0%
2008-07-20 - 2008-07-26,-3%
2008-07-27 - 2008-08-02,-3%
2008-08-03 - 2008-08-09,-3%
2008-08-10 - 2008-08-16,-6%
2008-08-17 - 2008-08-23,-6%
2008-08-24 - 2008-08-30,-3%
2008-08-31 - 2008-09-06,+6%
2008-09-07 - 2008-09-13,+45%
2008-09-14 - 2008-09-20,+6%
2008-09-21 - 2008-09-27,+6%
2008-09-28 - 2008-10-04,+6%
2008-10-05 - 2008-10-11,+3%
2008-10-12 - 2008-10-18,+3%
2008-10-19 - 2008-10-25,+3%
2008-10-26 - 2008-11-01,+0%
2008-11-02 - 2008-11-08,+0%
2008-11-09 - 2008-11-15,+0%
2008-11-16 - 2008-11-22,+9%
2008-11-23 - 2008-11-29,+6%
2008-11-30 - 2008-12-06,+12%
2008-12-07 - 2008-12-13,+9%
2008-12-14 - 2008-12-20,+0%
2008-12-21 - 2008-12-27,-9%
2008-12-28 - 2009-01-03,-9%
2009-01-04 - 2009-01-10,+6%
2009-01-11 - 2009-01-17,+3%
2009-01-18 - 2009-01-24,-3%
2009-01-25 - 2009-01-31,+6%
2009-02-01 - 2009-02-07,+3%
