Web Search interest
United States; 2006

Interest over time
Week,Real Estate
2006-01-01 - 2006-01-07,+0%
2006-01-08 - 2006-01-14,+7%
2006-01-15 - 2006-01-21,+5%
2006-01-22 - 2006-01-28,+5%
2006-01-29 - 2006-02-04,+2%
2006-02-05 - 2006-02-11,+2%
2006-02-12 - 2006-02-18,-1%
2006-02-19 - 2006-02-25,+8%
2006-02-26 - 2006-03-04,+7%
2006-03-05 - 2006-03-11,+6%
2006-03-12 - 2006-03-18,+10%
2006-03-19 - 2006-03-25,+8%
2006-03-26 - 2006-04-01,+7%
2006-04-02 - 2006-04-08,+10%
2006-04-09 - 2006-04-15,+6%
2006-04-16 - 2006-04-22,+7%
2006-04-23 - 2006-04-29,+6%
2006-04-30 - 2006-05-06,+4%
2006-05-07 - 2006-05-13,+6%
2006-05-14 - 2006-05-20,+6%
2006-05-21 - 2006-05-27,+5%
2006-05-28 - 2006-06-03,+11%
2006-06-04 - 2006-06-10,+8%
2006-06-11 - 2006-06-17,+11%
2006-06-18 - 2006-06-24,+13%
2006-06-25 - 2006-07-01,+12%
2006-07-02 - 2006-07-08,+14%
2006-07-09 - 2006-07-15,+15%
2006-07-16 - 2006-07-22,+19%
2006-07-23 - 2006-07-29,+17%
2006-07-30 - 2006-08-05,+13%
2006-08-06 - 2006-08-12,+11%
2006-08-13 - 2006-08-19,+10%
2006-08-20 - 2006-08-26,+10%
2006-08-27 - 2006-09-02,+4%
2006-09-03 - 2006-09-09,-2%
2006-09-10 - 2006-09-16,-11%
2006-09-17 - 2006-09-23,-6%
2006-09-24 - 2006-09-30,-4%
2006-10-01 - 2006-10-07,-8%
2006-10-08 - 2006-10-14,-8%
2006-10-15 - 2006-10-21,-11%
2006-10-22 - 2006-10-28,-8%
2006-10-29 - 2006-11-04,-10%
2006-11-05 - 2006-11-11,-13%
2006-11-12 - 2006-11-18,-14%
2006-11-19 - 2006-11-25,-21%
2006-11-26 - 2006-12-02,-15%
2006-12-03 - 2006-12-09,-19%
2006-12-10 - 2006-12-16,-23%
2006-12-17 - 2006-12-23,-21%
2006-12-24 - 2006-12-30,-10%
2006-12-31 - 2007-01-06,+2%



Top searches
real,100
real estate,95
homes,60
apartments,55
realty,45
rent,40
home,30
house,30
florida,30
rentals,30
for rent,25
houses,20
homes for sale,20
apartment,20
remax,15
mls,15
housing,15
realtors,15
realtor,15
condos,10



Rising searches
zillow,Breakout
house values,+110%
craiglist,+70%
craigs list,+70%
craigslist,+70%
craigslist ny,+70%
house value,+70%
vrbo,+60%
24,+50%
home value,+50%



