Web Search interest
United States; Past 30 days

Interest over time
Day,Home & Garden
2014-08-18,+0%
2014-08-19,-5%
2014-08-20,-6%
2014-08-21,-3%
2014-08-22,-5%
2014-08-23,+8%
2014-08-24,+7%
2014-08-25,-1%
2014-08-26,-8%
2014-08-27,-8%
2014-08-28,-8%
2014-08-29,-8%
2014-08-30,+8%
2014-08-31,+9%
2014-09-01,+14%
2014-09-02,-6%
2014-09-03,-10%
2014-09-04,-11%
2014-09-05,-14%
2014-09-06,+1%
2014-09-07,+1%
2014-09-08,-8%
2014-09-09,-11%
2014-09-10,-14%
2014-09-11,-12%
2014-09-12,-11%
2014-09-13,+2%
2014-09-14,-1%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
home,100
home depot,75
furniture,75
lowes,55
ikea,30
mattress,20
bed bath beyond,20
bath and beyond,20
pool,20
shower,20
amazon,20
pottery barn,15
walmart,15
amc,15
refrigerator,10
target,10
sears,10
box,10
menards,10
clock,10



Rising searches
sakai,+200%
online timer,+120%
curved tv,+90%
sleep number bed,+80%
samsung curved tv,+70%
amazon customer service,+50%
crock pot recipes,+50%
electric fireplace,+50%
yankee candle,+50%
crock pot chicken,+40%



