Web Search interest
United States; Past 7 days

Interest over time
Day,Finance
2014-09-11,+0%
2014-09-12,+2%
2014-09-13,-27%
2014-09-14,-38%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
bank,100
credit,70
wells fargo,35
chase,30
bank of america,30
capital one,20
calculator,15
chase online,10
american express,10
pnc,10
money,10
citibank,5
credit one,5
us bank,5
usaa,5
chase bank,5
wells fargo online,5
finance,5
suntrust,5
fidelity,5



Rising searches
apmex,+60%
silver prices,+50%
bofa login,+40%
credit acceptance,+40%
eftps,+40%
hyundai motor finance,+40%
midflorida,+40%
walmart credit card,+40%
zero hedge,+40%



