News Search interest
United States; Past 7 days

Interest over time
Day,Sports
2014-09-12,+0%
2014-09-13,+12%
2014-09-14,+49%
2014-09-15,+21%
2014-09-16,-1%
2014-09-17, 
2014-09-18, 



Top searches
football,100
adrian peterson,90
ray rice,75
mayweather,70
nfl,45
pistorius,45
floyd mayweather,45
oscar pistorius,40
floyd mayweather jr.,30
redskins,25
49ers,25
iphone,20
washington redskins,20
packers,15
espn,15
scotland,15
ravens,15
colts,15
mayweather maidana,15
green bay packers,15



Rising searches
adrian peterson,Breakout
floyd mayweather jr.,+900%
washington redskins,+800%
mayweather maidana,+700%
floyd mayweather,+650%
mayweather,+600%
colts,+300%
oscar pistorius,+250%
pistorius,+250%
redskins,+250%



