Image Search interest
United States; Past 12 months

Interest over time
Week,Health
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+5%
2013-09-29 - 2013-10-05,+6%
2013-10-06 - 2013-10-12,+6%
2013-10-13 - 2013-10-19,+2%
2013-10-20 - 2013-10-26,+5%
2013-10-27 - 2013-11-02,-5%
2013-11-03 - 2013-11-09,+3%
2013-11-10 - 2013-11-16,+5%
2013-11-17 - 2013-11-23,+7%
2013-11-24 - 2013-11-30,-9%
2013-12-01 - 2013-12-07,-5%
2013-12-08 - 2013-12-14,+1%
2013-12-15 - 2013-12-21,-7%
2013-12-22 - 2013-12-28,-19%
2013-12-29 - 2014-01-04,-11%
2014-01-05 - 2014-01-11,-1%
2014-01-12 - 2014-01-18,+1%
2014-01-19 - 2014-01-25,+0%
2014-01-26 - 2014-02-01,-1%
2014-02-02 - 2014-02-08,+0%
2014-02-09 - 2014-02-15,+0%
2014-02-16 - 2014-02-22,+5%
2014-02-23 - 2014-03-01,+6%
2014-03-02 - 2014-03-08,+5%
2014-03-09 - 2014-03-15,+3%
2014-03-16 - 2014-03-22,+5%
2014-03-23 - 2014-03-29,+5%
2014-03-30 - 2014-04-05,+14%
2014-04-06 - 2014-04-12,+6%
2014-04-13 - 2014-04-19,+8%
2014-04-20 - 2014-04-26,+13%
2014-04-27 - 2014-05-03,+9%
2014-05-04 - 2014-05-10,+9%
2014-05-11 - 2014-05-17,+7%
2014-05-18 - 2014-05-24,+5%
2014-05-25 - 2014-05-31,+3%
2014-06-01 - 2014-06-07,+5%
2014-06-08 - 2014-06-14,+1%
2014-06-15 - 2014-06-21,+2%
2014-06-22 - 2014-06-28,+5%
2014-06-29 - 2014-07-05,+0%
2014-07-06 - 2014-07-12,+5%
2014-07-13 - 2014-07-19,+3%
2014-07-20 - 2014-07-26,+1%
2014-07-27 - 2014-08-02,+5%
2014-08-03 - 2014-08-09,+6%
2014-08-10 - 2014-08-16,+0%
2014-08-17 - 2014-08-23,+5%
2014-08-24 - 2014-08-30,+2%
2014-08-31 - 2014-09-06,+2%
2014-09-07 - 2014-09-13,+3%
2014-09-14 - 2014-09-20,+8%



Top searches
weed,100
teeth,70
cancer,60
fat,55
eye,50
herpes,45
heart,45
smoking,40
glasses,35
pain,35
eyes,30
marijuana,30
nose,30
ear,25
hospital,25
health,25
braces,20
breast cancer,20
drugs,20
doctor,20



Rising searches
paul george injury,Breakout
bruh,+900%
ebola,+600%
crazy eyes,+350%
ebola virus,+350%
left eye,+120%
e cigarette,+90%
trypophobia,+80%
image search,+60%
pele,+60%



