News Search interest
United States; Past 7 days

Interest over time
Day,Law & Government
2014-09-12,+0%
2014-09-13,-24%
2014-09-14,-33%
2014-09-15,-19%
2014-09-16,-10%
2014-09-17, 
2014-09-18, 



Top searches
police,100
obama,85
immigration,60
european union,60
news,55
scotland,45
murder,35
united states,35
navy,35
law,25
isis,25
immigration reform,25
fire,25
court,25
scotland independence,25
obama speech,25
california,25
president,25
senate,25
military,20



Rising searches
ted cruz,+300%
obama speech,+250%
european union,+190%
navy,+160%
united states,+140%
prince harry,+120%
scotland,+120%
fire,+110%
scotland independence,+90%
president,+50%



