YouTube Search interest
United States; Past 90 days

Interest over time
Day,Autos & Vehicles
2014-06-20,+0%
2014-06-21,-2%
2014-06-22,+2%
2014-06-23,-2%
2014-06-24,+0%
2014-06-25,+0%
2014-06-26,-2%
2014-06-27,-3%
2014-06-28,+2%
2014-06-29,+2%
2014-06-30,+2%
2014-07-01,-2%
2014-07-02,-2%
2014-07-03,-2%
2014-07-04,+3%
2014-07-05,+2%
2014-07-06,+2%
2014-07-07,+2%
2014-07-08,+5%
2014-07-09,+3%
2014-07-10,+0%
2014-07-11,-2%
2014-07-12,+0%
2014-07-13,+3%
2014-07-14,+3%
2014-07-15,+2%
2014-07-16,-2%
2014-07-17,+0%
2014-07-18,-5%
2014-07-19,+6%
2014-07-20,+5%
2014-07-21,+0%
2014-07-22,+2%
2014-07-23,-2%
2014-07-24,+2%
2014-07-25,+0%
2014-07-26,+0%
2014-07-27,+5%
2014-07-28,+0%
2014-07-29,+2%
2014-07-30,+0%
2014-07-31,+0%
2014-08-01,+2%
2014-08-02,+6%
2014-08-03,+9%
2014-08-04,+0%
2014-08-05,+2%
2014-08-06,-2%
2014-08-07,-2%
2014-08-08,+2%
2014-08-09,+6%
2014-08-10,+52%
2014-08-11,+41%
2014-08-12,+8%
2014-08-13,+3%
2014-08-14,+2%
2014-08-15,+0%
2014-08-16,+3%
2014-08-17,+0%
2014-08-18,+0%
2014-08-19,-2%
2014-08-20,-5%
2014-08-21,-5%
2014-08-22,-6%
2014-08-23,-2%
2014-08-24,-2%
2014-08-25,+0%
2014-08-26,-5%
2014-08-27,-6%
2014-08-28,-6%
2014-08-29,-3%
2014-08-30,-5%
2014-08-31,-2%
2014-09-01,-3%
2014-09-02,+2%
2014-09-03,-3%
2014-09-04,-2%
2014-09-05,-2%
2014-09-06,+2%
2014-09-07,+2%
2014-09-08,-5%
2014-09-09,-5%
2014-09-10,-6%
2014-09-11,-5%
2014-09-12,-3%
2014-09-13,-6%
2014-09-14,-3%
2014-09-15,-2%
2014-09-16,-2%
2014-09-17, 
2014-09-18, 
2014-09-19, 



Top searches
car,100
turbo,40
dirt,30
tony stewart,25
cars,25
trailers,25
jeep,25
motorcycle,25
bethany mota,20
tdm,20
attack on titan,20
audi,20
drive,15
trucks,15
subaru,15
silverado,15
corvette,15
classic,15
lamborghini,15
sail,10



Rising searches
tony stewart,Breakout
challenger hellcat,+550%
dodge hellcat,+450%
hellcat,+450%
outlander,+180%
lg g3,+170%
dirt,+90%
tdm,+60%
2015 mustang,+50%
honest trailers,+50%



