Web Search interest
United States; 2007

Interest over time
Week,Finance
2007-01-07 - 2007-01-13,+0%
2007-01-14 - 2007-01-20,-8%
2007-01-21 - 2007-01-27,+3%
2007-01-28 - 2007-02-03,+9%
2007-02-04 - 2007-02-10,+3%
2007-02-11 - 2007-02-17,+1%
2007-02-18 - 2007-02-24,-1%
2007-02-25 - 2007-03-03,+4%
2007-03-04 - 2007-03-10,+1%
2007-03-11 - 2007-03-17,-1%
2007-03-18 - 2007-03-24,-2%
2007-03-25 - 2007-03-31,+0%
2007-04-01 - 2007-04-07,+3%
2007-04-08 - 2007-04-14,+10%
2007-04-15 - 2007-04-21,+8%
2007-04-22 - 2007-04-28,-4%
2007-04-29 - 2007-05-05,-5%
2007-05-06 - 2007-05-12,-9%
2007-05-13 - 2007-05-19,-8%
2007-05-20 - 2007-05-26,-11%
2007-05-27 - 2007-06-02,-11%
2007-06-03 - 2007-06-09,-7%
2007-06-10 - 2007-06-16,-7%
2007-06-17 - 2007-06-23,-5%
2007-06-24 - 2007-06-30,-5%
2007-07-01 - 2007-07-07,-11%
2007-07-08 - 2007-07-14,-4%
2007-07-15 - 2007-07-21,-3%
2007-07-22 - 2007-07-28,-5%
2007-07-29 - 2007-08-04,-2%
2007-08-05 - 2007-08-11,-3%
2007-08-12 - 2007-08-18,-4%
2007-08-19 - 2007-08-25,-8%
2007-08-26 - 2007-09-01,-5%
2007-09-02 - 2007-09-08,-10%
2007-09-09 - 2007-09-15,-11%
2007-09-16 - 2007-09-22,-8%
2007-09-23 - 2007-09-29,-11%
2007-09-30 - 2007-10-06,-11%
2007-10-07 - 2007-10-13,-10%
2007-10-14 - 2007-10-20,-10%
2007-10-21 - 2007-10-27,-15%
2007-10-28 - 2007-11-03,-11%
2007-11-04 - 2007-11-10,-10%
2007-11-11 - 2007-11-17,-9%
2007-11-18 - 2007-11-24,-21%
2007-11-25 - 2007-12-01,-10%
2007-12-02 - 2007-12-08,-10%
2007-12-09 - 2007-12-15,-12%
2007-12-16 - 2007-12-22,-12%
2007-12-23 - 2007-12-29,-16%
2007-12-30 - 2008-01-05,-7%



Top searches
bank,100
insurance,45
bank america,30
bank of america,30
mortgage,25
chase,15
loans,15
credit card,10
wells fargo,10
irs,10
stock,10
american express,10
wachovia,10
money,10
capital one,5
wamu,5
credit report,5
fafsa,5
finance,5
blue cross,5



Rising searches
bank of america.com,+150%
td ameritrade,+120%
tdameritrade,+110%
hsbc credit card,+90%
wamu,+70%
google finance,+60%
american home mortgage,+50%
commerceonline,+50%
rbc centura,+50%
bill me later,+40%



