News Search interest
United States; Past 7 days

Interest over time
Day,Autos & Vehicles
2014-09-12,+0%
2014-09-13,+1%
2014-09-14,-13%
2014-09-15,+0%
2014-09-16,+1%
2014-09-17, 
2014-09-18, 



Top searches
alibaba,100
ford,70
alibaba group,55
tesla,55
tesla motors,50
toyota,50
car,50
honda,40
auto,35
cars,30
moto,30
mustang,25
corvette,25
nissan,25
bmw,25
outlander,20
boeing,20
alibaba ipo,20
jeep,20
subaru,20



Rising searches
corvette,+250%
alibaba group,+160%
alibaba,+90%
general motors,+70%
auto,+60%
outlander,+60%
motorcycle,+50%
mustang,+50%
alibaba ipo,+40%



