Web Search interest
United States; 2012

Interest over time
Week,Hobbies & Leisure
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,-9%
2012-01-15 - 2012-01-21,-11%
2012-01-22 - 2012-01-28,-11%
2012-01-29 - 2012-02-04,-6%
2012-02-05 - 2012-02-11,-6%
2012-02-12 - 2012-02-18,+1%
2012-02-19 - 2012-02-25,-7%
2012-02-26 - 2012-03-03,-9%
2012-03-04 - 2012-03-10,-5%
2012-03-11 - 2012-03-17,-6%
2012-03-18 - 2012-03-24,-2%
2012-03-25 - 2012-03-31,+22%
2012-04-01 - 2012-04-07,+2%
2012-04-08 - 2012-04-14,-4%
2012-04-15 - 2012-04-21,-4%
2012-04-22 - 2012-04-28,-5%
2012-04-29 - 2012-05-05,-4%
2012-05-06 - 2012-05-12,+2%
2012-05-13 - 2012-05-19,+0%
2012-05-20 - 2012-05-26,-1%
2012-05-27 - 2012-06-02,+0%
2012-06-03 - 2012-06-09,+0%
2012-06-10 - 2012-06-16,+2%
2012-06-17 - 2012-06-23,+0%
2012-06-24 - 2012-06-30,-6%
2012-07-01 - 2012-07-07,+2%
2012-07-08 - 2012-07-14,+0%
2012-07-15 - 2012-07-21,-2%
2012-07-22 - 2012-07-28,-5%
2012-07-29 - 2012-08-04,+2%
2012-08-05 - 2012-08-11,-2%
2012-08-12 - 2012-08-18,-1%
2012-08-19 - 2012-08-25,+0%
2012-08-26 - 2012-09-01,-7%
2012-09-02 - 2012-09-08,-7%
2012-09-09 - 2012-09-15,-10%
2012-09-16 - 2012-09-22,-7%
2012-09-23 - 2012-09-29,-11%
2012-09-30 - 2012-10-06,-9%
2012-10-07 - 2012-10-13,-6%
2012-10-14 - 2012-10-20,-6%
2012-10-21 - 2012-10-27,-5%
2012-10-28 - 2012-11-03,-6%
2012-11-04 - 2012-11-10,-13%
2012-11-11 - 2012-11-17,-4%
2012-11-18 - 2012-11-24,+6%
2012-11-25 - 2012-12-01,+15%
2012-12-02 - 2012-12-08,+5%
2012-12-09 - 2012-12-15,+6%
2012-12-16 - 2012-12-22,+7%
2012-12-23 - 2012-12-29,+16%
2012-12-30 - 2013-01-05,+2%



Top searches
lottery,100
dog,90
christmas,50
dogs,40
cat,35
puppies,30
mega millions,30
fish,30
birds,25
camera,20
flowers,20
powerball,20
kayak,20
cats,15
nikon,15
halloween,15
lotto,15
angry birds,15
petsmart,15
bikes,10



Rising searches
thanksgiving 2012,+2,950%
michael phelps,+800%
pinterest,+550%
ecards,+200%
imagenes,+160%
valentines day,+80%
flowers,+60%
party city,+50%
powerball,+50%
powerball numbers,+50%



