YouTube Search interest
United States; 2011

Interest over time
Week,Finance
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,+1%
2011-01-16 - 2011-01-22,+7%
2011-01-23 - 2011-01-29,+4%
2011-01-30 - 2011-02-05,+1%
2011-02-06 - 2011-02-12,+0%
2011-02-13 - 2011-02-19,-2%
2011-02-20 - 2011-02-26,-1%
2011-02-27 - 2011-03-05,+1%
2011-03-06 - 2011-03-12,+7%
2011-03-13 - 2011-03-19,-4%
2011-03-20 - 2011-03-26,-2%
2011-03-27 - 2011-04-02,-4%
2011-04-03 - 2011-04-09,-1%
2011-04-10 - 2011-04-16,+5%
2011-04-17 - 2011-04-23,+2%
2011-04-24 - 2011-04-30,+4%
2011-05-01 - 2011-05-07,+0%
2011-05-08 - 2011-05-14,-4%
2011-05-15 - 2011-05-21,-6%
2011-05-22 - 2011-05-28,-9%
2011-05-29 - 2011-06-04,-6%
2011-06-05 - 2011-06-11,-4%
2011-06-12 - 2011-06-18,+0%
2011-06-19 - 2011-06-25,+2%
2011-06-26 - 2011-07-02,+4%
2011-07-03 - 2011-07-09,-1%
2011-07-10 - 2011-07-16,+5%
2011-07-17 - 2011-07-23,+2%
2011-07-24 - 2011-07-30,+4%
2011-07-31 - 2011-08-06,+7%
2011-08-07 - 2011-08-13,+11%
2011-08-14 - 2011-08-20,+10%
2011-08-21 - 2011-08-27,+10%
2011-08-28 - 2011-09-03,+7%
2011-09-04 - 2011-09-10,+7%
2011-09-11 - 2011-09-17,+15%
2011-09-18 - 2011-09-24,+16%
2011-09-25 - 2011-10-01,+17%
2011-10-02 - 2011-10-08,+17%
2011-10-09 - 2011-10-15,+7%
2011-10-16 - 2011-10-22,+21%
2011-10-23 - 2011-10-29,+22%
2011-10-30 - 2011-11-05,+15%
2011-11-06 - 2011-11-12,+11%
2011-11-13 - 2011-11-19,+15%
2011-11-20 - 2011-11-26,+7%
2011-11-27 - 2011-12-03,+13%
2011-12-04 - 2011-12-10,+11%
2011-12-11 - 2011-12-17,+15%
2011-12-18 - 2011-12-24,+13%
2011-12-25 - 2011-12-31,+11%



Top searches
fx,100
chase,60
currency,50
geico,50
mlp,45
allstate,40
inception,40
credit card,40
take over control,35
syndicate,35
sparta,35
jose feliciano,35
adjustment bureau,30
state farm,25
insurance commercial,25
accounting,25
mayhem,25
best coast,25
mayhem allstate,20
adjustment bureau trailer,20



Rising searches
mlp,Breakout
best coast,+3,300%
syndicate,+2,500%
adjustment bureau trailer,+800%
adjustment bureau,+500%
take over control,+450%
state farm,+70%
allstate,+50%
fx,+50%
mayhem,+40%



