News Search interest
United States; 2012

Interest over time
Week,Law & Government
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,-5%
2012-01-15 - 2012-01-21,-11%
2012-01-22 - 2012-01-28,+10%
2012-01-29 - 2012-02-04,-1%
2012-02-05 - 2012-02-11,+4%
2012-02-12 - 2012-02-18,-10%
2012-02-19 - 2012-02-25,-2%
2012-02-26 - 2012-03-03,-2%
2012-03-04 - 2012-03-10,-7%
2012-03-11 - 2012-03-17,-6%
2012-03-18 - 2012-03-24,+1%
2012-03-25 - 2012-03-31,+7%
2012-04-01 - 2012-04-07,+6%
2012-04-08 - 2012-04-14,+6%
2012-04-15 - 2012-04-21,+6%
2012-04-22 - 2012-04-28,+10%
2012-04-29 - 2012-05-05,-1%
2012-05-06 - 2012-05-12,+1%
2012-05-13 - 2012-05-19,+4%
2012-05-20 - 2012-05-26,-2%
2012-05-27 - 2012-06-02,+2%
2012-06-03 - 2012-06-09,+6%
2012-06-10 - 2012-06-16,-1%
2012-06-17 - 2012-06-23,+9%
2012-06-24 - 2012-06-30,+23%
2012-07-01 - 2012-07-07,-10%
2012-07-08 - 2012-07-14,-7%
2012-07-15 - 2012-07-21,+1%
2012-07-22 - 2012-07-28,-9%
2012-07-29 - 2012-08-04,-19%
2012-08-05 - 2012-08-11,-21%
2012-08-12 - 2012-08-18,-1%
2012-08-19 - 2012-08-25,-4%
2012-08-26 - 2012-09-01,-14%
2012-09-02 - 2012-09-08,-4%
2012-09-09 - 2012-09-15,-15%
2012-09-16 - 2012-09-22,-12%
2012-09-23 - 2012-09-29,-12%
2012-09-30 - 2012-10-06,-4%
2012-10-07 - 2012-10-13,-6%
2012-10-14 - 2012-10-20,-14%
2012-10-21 - 2012-10-27,-12%
2012-10-28 - 2012-11-03,-33%
2012-11-04 - 2012-11-10,+12%
2012-11-11 - 2012-11-17,-2%
2012-11-18 - 2012-11-24,-22%
2012-11-25 - 2012-12-01,-14%
2012-12-02 - 2012-12-08,-12%
2012-12-09 - 2012-12-15,-2%
2012-12-16 - 2012-12-22,-1%
2012-12-23 - 2012-12-29,-1%
2012-12-30 - 2013-01-05,+10%



Top searches
obama,100
shooting,40
police,35
immigration,25
supreme court,25
law,20
murder,20
romney,15
one direction,15
zimmerman,15
health care,15
unemployment,15
president,15
military,10
navy,10
fire,10
biden,10
petraeus,10
obama romney,10
bush,10



Rising searches
fiscal cliff,Breakout
zimmerman,+3,350%
one direction,+2,800%
obama romney,+2,300%
romney,+1,400%
petraeus,+1,050%
school shooting,+450%
biden,+250%
supreme court,+130%
shooting,+100%



