News Search interest
United States; Past 12 months

Interest over time
Week,People & Society
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+3%
2013-09-29 - 2013-10-05,+3%
2013-10-06 - 2013-10-12,+5%
2013-10-13 - 2013-10-19,+8%
2013-10-20 - 2013-10-26,+13%
2013-10-27 - 2013-11-02,+9%
2013-11-03 - 2013-11-09,+22%
2013-11-10 - 2013-11-16,+9%
2013-11-17 - 2013-11-23,+13%
2013-11-24 - 2013-11-30,+4%
2013-12-01 - 2013-12-07,+14%
2013-12-08 - 2013-12-14,+32%
2013-12-15 - 2013-12-21,+16%
2013-12-22 - 2013-12-28,+13%
2013-12-29 - 2014-01-04,+0%
2014-01-05 - 2014-01-11,+13%
2014-01-12 - 2014-01-18,+5%
2014-01-19 - 2014-01-25,+8%
2014-01-26 - 2014-02-01,+5%
2014-02-02 - 2014-02-08,+3%
2014-02-09 - 2014-02-15,+11%
2014-02-16 - 2014-02-22,+8%
2014-02-23 - 2014-03-01,+18%
2014-03-02 - 2014-03-08,+3%
2014-03-09 - 2014-03-15,-4%
2014-03-16 - 2014-03-22,-4%
2014-03-23 - 2014-03-29,+9%
2014-03-30 - 2014-04-05,+11%
2014-04-06 - 2014-04-12,+9%
2014-04-13 - 2014-04-19,+22%
2014-04-20 - 2014-04-26,+18%
2014-04-27 - 2014-05-03,+12%
2014-05-04 - 2014-05-10,+18%
2014-05-11 - 2014-05-17,+20%
2014-05-18 - 2014-05-24,+17%
2014-05-25 - 2014-05-31,+25%
2014-06-01 - 2014-06-07,+13%
2014-06-08 - 2014-06-14,+5%
2014-06-15 - 2014-06-21,+5%
2014-06-22 - 2014-06-28,+12%
2014-06-29 - 2014-07-05,+8%
2014-07-06 - 2014-07-12,+8%
2014-07-13 - 2014-07-19,+9%
2014-07-20 - 2014-07-26,+5%
2014-07-27 - 2014-08-02,+8%
2014-08-03 - 2014-08-09,+11%
2014-08-10 - 2014-08-16,-1%
2014-08-17 - 2014-08-23,+12%
2014-08-24 - 2014-08-30,+3%
2014-08-31 - 2014-09-06,+8%
2014-09-07 - 2014-09-13,-1%
2014-09-14 - 2014-09-20,+5%



Top searches
marriage,100
india,85
girls,55
baby,50
same-sex marriage,45
pregnant,45
us,35
mandela,35
hot,35
global warming,35
immigration,30
nelson mandela,30
pope,25
boko haram,25
ufo,25
divorce,25
climate change,20
economy,20
immigration reform,20
jesus,20



Rising searches
janet yellen,Breakout
boko haram,+1,400%
duggar,+350%
mila kunis,+130%
minimum wage,+130%
global warming,+80%
climate change,+70%
same-sex marriage,+70%
horoscope,+50%
hot,+40%



