News Search interest
United States; 2008

Interest over time
Week,Games
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+16%
2008-01-20 - 2008-01-26,-5%
2008-01-27 - 2008-02-02,-16%
2008-02-03 - 2008-02-09,-21%
2008-02-10 - 2008-02-16,+21%
2008-02-17 - 2008-02-23,+74%
2008-02-24 - 2008-03-01,+42%
2008-03-02 - 2008-03-08,+26%
2008-03-09 - 2008-03-15,+116%
2008-03-16 - 2008-03-22,+89%
2008-03-23 - 2008-03-29,+26%
2008-03-30 - 2008-04-05,+21%
2008-04-06 - 2008-04-12,+5%
2008-04-13 - 2008-04-19,+11%
2008-04-20 - 2008-04-26,+26%
2008-04-27 - 2008-05-03,+426%
2008-05-04 - 2008-05-10,+295%
2008-05-11 - 2008-05-17,+47%
2008-05-18 - 2008-05-24,+121%
2008-05-25 - 2008-05-31,+63%
2008-06-01 - 2008-06-07,+153%
2008-06-08 - 2008-06-14,+111%
2008-06-15 - 2008-06-21,+26%
2008-06-22 - 2008-06-28,+63%
2008-06-29 - 2008-07-05,+126%
2008-07-06 - 2008-07-12,+53%
2008-07-13 - 2008-07-19,+116%
2008-07-20 - 2008-07-26,+26%
2008-07-27 - 2008-08-02,+11%
2008-08-03 - 2008-08-09,+0%
2008-08-10 - 2008-08-16,-21%
2008-08-17 - 2008-08-23,+16%
2008-08-24 - 2008-08-30,-11%
2008-08-31 - 2008-09-06,-16%
2008-09-07 - 2008-09-13,-16%
2008-09-14 - 2008-09-20,+53%
2008-09-21 - 2008-09-27,-11%
2008-09-28 - 2008-10-04,+21%
2008-10-05 - 2008-10-11,+5%
2008-10-12 - 2008-10-18,+32%
2008-10-19 - 2008-10-25,+68%
2008-10-26 - 2008-11-01,+68%
2008-11-02 - 2008-11-08,-11%
2008-11-09 - 2008-11-15,+100%
2008-11-16 - 2008-11-22,+84%
2008-11-23 - 2008-11-29,+63%
2008-11-30 - 2008-12-06,+63%
2008-12-07 - 2008-12-13,+79%
2008-12-14 - 2008-12-20,+79%
2008-12-21 - 2008-12-27,+79%
2008-12-28 - 2009-01-03,+37%



Top searches
games,100
games games,100
kentucky derby,45
wii,45
juegos,45
juegos juegos,45
guitar hero,40
powerball,40
xbox,35
lottery,30
grand theft auto,30
ps3,30
game,30
rock band,25
mega millions,25
xbox 360,25
xbox-360,20
big brown,15
games online,15
powerball numbers,15



Rising searches
2008 kentucky derby,Breakout
big brown,Breakout
eight belles,Breakout
kentucky derby,Breakout
rock band 2,+3,700%
grand theft auto,+2,200%
gta,+1,200%
wii fit,+1,200%
juegos,+450%
juegos juegos,+450%



