News Search interest
United States; 2008

Interest over time
Week,Pets & Animals
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+19%
2008-01-20 - 2008-01-26,-37%
2008-01-27 - 2008-02-02,-41%
2008-02-03 - 2008-02-09,-44%
2008-02-10 - 2008-02-16,+213%
2008-02-17 - 2008-02-23,+3%
2008-02-24 - 2008-03-01,-6%
2008-03-02 - 2008-03-08,-6%
2008-03-09 - 2008-03-15,-9%
2008-03-16 - 2008-03-22,-28%
2008-03-23 - 2008-03-29,-9%
2008-03-30 - 2008-04-05,+0%
2008-04-06 - 2008-04-12,-16%
2008-04-13 - 2008-04-19,+3%
2008-04-20 - 2008-04-26,-6%
2008-04-27 - 2008-05-03,+6%
2008-05-04 - 2008-05-10,-6%
2008-05-11 - 2008-05-17,+6%
2008-05-18 - 2008-05-24,+9%
2008-05-25 - 2008-05-31,-28%
2008-06-01 - 2008-06-07,-31%
2008-06-08 - 2008-06-14,-22%
2008-06-15 - 2008-06-21,-44%
2008-06-22 - 2008-06-28,-6%
2008-06-29 - 2008-07-05,-34%
2008-07-06 - 2008-07-12,-41%
2008-07-13 - 2008-07-19,-44%
2008-07-20 - 2008-07-26,-34%
2008-07-27 - 2008-08-02,+41%
2008-08-03 - 2008-08-09,-12%
2008-08-10 - 2008-08-16,-56%
2008-08-17 - 2008-08-23,-34%
2008-08-24 - 2008-08-30,-41%
2008-08-31 - 2008-09-06,-62%
2008-09-07 - 2008-09-13,-50%
2008-09-14 - 2008-09-20,-25%
2008-09-21 - 2008-09-27,-44%
2008-09-28 - 2008-10-04,-37%
2008-10-05 - 2008-10-11,-41%
2008-10-12 - 2008-10-18,-47%
2008-10-19 - 2008-10-25,-34%
2008-10-26 - 2008-11-01,-44%
2008-11-02 - 2008-11-08,-56%
2008-11-09 - 2008-11-15,+19%
2008-11-16 - 2008-11-22,+31%
2008-11-23 - 2008-11-29,-25%
2008-11-30 - 2008-12-06,-19%
2008-12-07 - 2008-12-13,-12%
2008-12-14 - 2008-12-20,-22%
2008-12-21 - 2008-12-27,-34%
2008-12-28 - 2009-01-03,-31%



Top searches
dog,100
dogs,40
westminster,35
dog show,35
animal,30
bears,30
puppy,25
endangered species,25
westminster dog,25
westminster dog show,25
cat,20
tiger,20
polar bears,20
zoo,20
horses,20
endangered animals,15
polar bear,15
shark,15
lion,15
cats,15



Rising searches
beagle,Breakout
puppy cam,Breakout
westminster,Breakout
westminster dog,Breakout
westminster dog show,Breakout
dog show,+1,800%
endangered animals,+300%
puppy,+200%
polar bears,+150%
polar bear,+140%



