YouTube Search interest
United States; Past 30 days

Interest over time
Day,Finance
2014-08-20,+0%
2014-08-21,-13%
2014-08-22,-8%
2014-08-23,-11%
2014-08-24,-10%
2014-08-25,-12%
2014-08-26,-8%
2014-08-27,-13%
2014-08-28,-9%
2014-08-29,-12%
2014-08-30,-14%
2014-08-31,-9%
2014-09-01,-16%
2014-09-02,-16%
2014-09-03,-12%
2014-09-04,-14%
2014-09-05,-17%
2014-09-06,-14%
2014-09-07,-14%
2014-09-08,-21%
2014-09-09,-22%
2014-09-10,-10%
2014-09-11,-12%
2014-09-12,-10%
2014-09-13,-12%
2014-09-14,-14%
2014-09-15,-6%
2014-09-16,-10%
2014-09-17,-11%
2014-09-18, 
2014-09-19, 



Top searches
bts,100
mlp,80
chase,50
danger bts,45
fx,45
banks,40
syndicate,40
payday 2,30
w2s,30
lucky penny,25
lucky penny shop,20
ballislife,20
chase rice,20
accounting,20
dishonored,15
geico,15
extra credits,15
foreign,10
nae nae,10



Rising searches
danger bts,+1,600%
chase rice,+150%
geico,+110%
accounting,+80%
bts,+80%
extra credits,+70%
ballislife,+60%
chase,+50%
dishonored,+40%



