News Search interest
United States; 2012

Interest over time
Week,Books & Literature
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+7%
2012-01-15 - 2012-01-21,+30%
2012-01-22 - 2012-01-28,+3%
2012-01-29 - 2012-02-04,+4%
2012-02-05 - 2012-02-11,-1%
2012-02-12 - 2012-02-18,-4%
2012-02-19 - 2012-02-25,+1%
2012-02-26 - 2012-03-03,+6%
2012-03-04 - 2012-03-10,+9%
2012-03-11 - 2012-03-17,-1%
2012-03-18 - 2012-03-24,+9%
2012-03-25 - 2012-03-31,+9%
2012-04-01 - 2012-04-07,+27%
2012-04-08 - 2012-04-14,+10%
2012-04-15 - 2012-04-21,+12%
2012-04-22 - 2012-04-28,+15%
2012-04-29 - 2012-05-05,+10%
2012-05-06 - 2012-05-12,+49%
2012-05-13 - 2012-05-19,+30%
2012-05-20 - 2012-05-26,+16%
2012-05-27 - 2012-06-02,+24%
2012-06-03 - 2012-06-09,+19%
2012-06-10 - 2012-06-16,+3%
2012-06-17 - 2012-06-23,-7%
2012-06-24 - 2012-06-30,-16%
2012-07-01 - 2012-07-07,-19%
2012-07-08 - 2012-07-14,-12%
2012-07-15 - 2012-07-21,-10%
2012-07-22 - 2012-07-28,-13%
2012-07-29 - 2012-08-04,-10%
2012-08-05 - 2012-08-11,-10%
2012-08-12 - 2012-08-18,-4%
2012-08-19 - 2012-08-25,+19%
2012-08-26 - 2012-09-01,+3%
2012-09-02 - 2012-09-08,+7%
2012-09-09 - 2012-09-15,+12%
2012-09-16 - 2012-09-22,+6%
2012-09-23 - 2012-09-29,+9%
2012-09-30 - 2012-10-06,-4%
2012-10-07 - 2012-10-13,+3%
2012-10-14 - 2012-10-20,+19%
2012-10-21 - 2012-10-27,+19%
2012-10-28 - 2012-11-03,+1%
2012-11-04 - 2012-11-10,-10%
2012-11-11 - 2012-11-17,+4%
2012-11-18 - 2012-11-24,+18%
2012-11-25 - 2012-12-01,+7%
2012-12-02 - 2012-12-08,+16%
2012-12-09 - 2012-12-15,-4%
2012-12-16 - 2012-12-22,+1%
2012-12-23 - 2012-12-29,+15%
2012-12-30 - 2013-01-05,+3%



Top searches
quotes,100
game of thrones,75
book,70
magazine,55
books,55
vampire diaries,35
pretty little liars,30
harry,25
barnes,25
harry potter,20
barnes noble,20
rowling,20
newsweek,15
time magazine,15
the vampire diaries,15
jk rowling,15
barnes & noble,10
e-books,10
poems,10
martin luther king,10



Rising searches
closer,Breakout
cloud atlas,Breakout
hector camacho,Breakout
les misérables,Breakout
life of pi,Breakout
e-books,+450%
barnes & noble,+100%
love quotes,+70%
pretty little liars,+70%
quotes,+50%



