YouTube Search interest
United States; 2009

Interest over time
Week,Reference
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,+6%
2009-01-18 - 2009-01-24,+13%
2009-01-25 - 2009-01-31,+7%
2009-02-01 - 2009-02-07,+1%
2009-02-08 - 2009-02-14,+2%
2009-02-15 - 2009-02-21,+4%
2009-02-22 - 2009-02-28,+6%
2009-03-01 - 2009-03-07,+2%
2009-03-08 - 2009-03-14,+2%
2009-03-15 - 2009-03-21,+10%
2009-03-22 - 2009-03-28,+10%
2009-03-29 - 2009-04-04,+10%
2009-04-05 - 2009-04-11,+1%
2009-04-12 - 2009-04-18,+1%
2009-04-19 - 2009-04-25,+6%
2009-04-26 - 2009-05-02,+10%
2009-05-03 - 2009-05-09,+10%
2009-05-10 - 2009-05-16,+4%
2009-05-17 - 2009-05-23,+4%
2009-05-24 - 2009-05-30,+4%
2009-05-31 - 2009-06-06,+4%
2009-06-07 - 2009-06-13,+5%
2009-06-14 - 2009-06-20,+6%
2009-06-21 - 2009-06-27,+5%
2009-06-28 - 2009-07-04,-1%
2009-07-05 - 2009-07-11,-4%
2009-07-12 - 2009-07-18,+1%
2009-07-19 - 2009-07-25,+6%
2009-07-26 - 2009-08-01,+5%
2009-08-02 - 2009-08-08,+11%
2009-08-09 - 2009-08-15,+7%
2009-08-16 - 2009-08-22,+11%
2009-08-23 - 2009-08-29,+11%
2009-08-30 - 2009-09-05,+13%
2009-09-06 - 2009-09-12,+13%
2009-09-13 - 2009-09-19,+6%
2009-09-20 - 2009-09-26,+12%
2009-09-27 - 2009-10-03,+16%
2009-10-04 - 2009-10-10,+13%
2009-10-11 - 2009-10-17,+16%
2009-10-18 - 2009-10-24,+16%
2009-10-25 - 2009-10-31,+16%
2009-11-01 - 2009-11-07,+19%
2009-11-08 - 2009-11-14,+20%
2009-11-15 - 2009-11-21,+19%
2009-11-22 - 2009-11-28,+10%
2009-11-29 - 2009-12-05,+16%
2009-12-06 - 2009-12-12,+11%
2009-12-13 - 2009-12-19,+11%
2009-12-20 - 2009-12-26,+2%
2009-12-27 - 2010-01-02,+10%



Top searches
english,100
how to make,80
leprechaun,65
history,60
leprechaun alabama,45
spanish,40
body language,40
leprechaun in alabama,35
earth,35
speak,30
hypnosis,30
french,30
jfk,30
german,25
unicorn,25
der riese,20
loba,20
civil war,20
sooner than later,20
werewolf,20



Rising searches
der riese,Breakout
la loba,Breakout
loba,Breakout
sooner than later,+2,300%
body language,+800%
hero of war,+350%
carl thomas,+70%
leprechaun in alabama,+70%
leprechaun alabama,+50%
world war 2,+40%



