News Search interest
United States; Past 30 days

Interest over time
Day,Sports
2014-08-19,+0%
2014-08-20,-4%
2014-08-21,+9%
2014-08-22,+14%
2014-08-23,+25%
2014-08-24,+28%
2014-08-25,+11%
2014-08-26,+2%
2014-08-27,+2%
2014-08-28,+11%
2014-08-29,+23%
2014-08-30,+37%
2014-08-31,+42%
2014-09-01,+26%
2014-09-02,+9%
2014-09-03,+11%
2014-09-04,+4%
2014-09-05,+12%
2014-09-06,+28%
2014-09-07,+67%
2014-09-08,+68%
2014-09-09,+26%
2014-09-10,+11%
2014-09-11,+21%
2014-09-12,+16%
2014-09-13,+32%
2014-09-14,+75%
2014-09-15,+46%
2014-09-16,+12%
2014-09-17, 
2014-09-18, 



Top searches
football,100
ray rice,45
nfl,40
news,40
mayweather,20
adrian peterson,20
seahawks,20
49ers,20
manchester united,15
patriots,15
arsenal,15
serena williams,15
espn,15
floyd mayweather,15
pistorius,15
seattle seahawks,15
wwe,15
oscar pistorius,15
michael brown,10
giants,10



Rising searches
adrian peterson,Breakout
ray rice,+1,550%
floyd mayweather,+500%
mayweather,+450%
seattle seahawks,+300%
serena williams,+250%
seahawks,+170%
football,+160%
nfl,+140%
49ers,+130%



