News Search interest
United States; 2008

Interest over time
Week,Food & Drink
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,-21%
2008-01-20 - 2008-01-26,-14%
2008-01-27 - 2008-02-02,+7%
2008-02-03 - 2008-02-09,-21%
2008-02-10 - 2008-02-16,+21%
2008-02-17 - 2008-02-23,+14%
2008-02-24 - 2008-03-01,+29%
2008-03-02 - 2008-03-08,+50%
2008-03-09 - 2008-03-15,+14%
2008-03-16 - 2008-03-22,+43%
2008-03-23 - 2008-03-29,+14%
2008-03-30 - 2008-04-05,+50%
2008-04-06 - 2008-04-12,+93%
2008-04-13 - 2008-04-19,+93%
2008-04-20 - 2008-04-26,+79%
2008-04-27 - 2008-05-03,+14%
2008-05-04 - 2008-05-10,+50%
2008-05-11 - 2008-05-17,+14%
2008-05-18 - 2008-05-24,+14%
2008-05-25 - 2008-05-31,+100%
2008-06-01 - 2008-06-07,+21%
2008-06-08 - 2008-06-14,+100%
2008-06-15 - 2008-06-21,+29%
2008-06-22 - 2008-06-28,+43%
2008-06-29 - 2008-07-05,+100%
2008-07-06 - 2008-07-12,+64%
2008-07-13 - 2008-07-19,+79%
2008-07-20 - 2008-07-26,+71%
2008-07-27 - 2008-08-02,+71%
2008-08-03 - 2008-08-09,-14%
2008-08-10 - 2008-08-16,-21%
2008-08-17 - 2008-08-23,-21%
2008-08-24 - 2008-08-30,+0%
2008-08-31 - 2008-09-06,-43%
2008-09-07 - 2008-09-13,-29%
2008-09-14 - 2008-09-20,-21%
2008-09-21 - 2008-09-27,+14%
2008-09-28 - 2008-10-04,-7%
2008-10-05 - 2008-10-11,+0%
2008-10-12 - 2008-10-18,+14%
2008-10-19 - 2008-10-25,+14%
2008-10-26 - 2008-11-01,+43%
2008-11-02 - 2008-11-08,+7%
2008-11-09 - 2008-11-15,+43%
2008-11-16 - 2008-11-22,+121%
2008-11-23 - 2008-11-29,+614%
2008-11-30 - 2008-12-06,+79%
2008-12-07 - 2008-12-13,+71%
2008-12-14 - 2008-12-20,+86%
2008-12-21 - 2008-12-27,+207%
2008-12-28 - 2009-01-03,+50%



Top searches
recipes,100
food,70
starbucks,65
rice,30
denver,30
anheuser,25
coffee,25
anheuser busch,20
beer,20
thanksgiving recipes,20
turkey recipes,20
inbev,20
chocolate,20
top chef,20
mcdonalds,20
pumpkin,20
pizza,20
food network,15
condoleezza rice,15
chicken,15



Rising searches
dr pepper,Breakout
inbev,Breakout
krispy-kreme,Breakout
anheuser,+800%
anheuser busch,+650%
turkey recipes,+450%
starbucks,+200%
sugar,+200%
thanksgiving recipes,+150%
recipes,+130%



