YouTube Search interest
United States; 2008

Interest over time
Week,Science
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+4%
2008-01-20 - 2008-01-26,+6%
2008-01-27 - 2008-02-02,+6%
2008-02-03 - 2008-02-09,+0%
2008-02-10 - 2008-02-16,+1%
2008-02-17 - 2008-02-23,+10%
2008-02-24 - 2008-03-01,+7%
2008-03-02 - 2008-03-08,+6%
2008-03-09 - 2008-03-15,+6%
2008-03-16 - 2008-03-22,+10%
2008-03-23 - 2008-03-29,+3%
2008-03-30 - 2008-04-05,+10%
2008-04-06 - 2008-04-12,+9%
2008-04-13 - 2008-04-19,+11%
2008-04-20 - 2008-04-26,+17%
2008-04-27 - 2008-05-03,+11%
2008-05-04 - 2008-05-10,+17%
2008-05-11 - 2008-05-17,+13%
2008-05-18 - 2008-05-24,+11%
2008-05-25 - 2008-05-31,+16%
2008-06-01 - 2008-06-07,+4%
2008-06-08 - 2008-06-14,+1%
2008-06-15 - 2008-06-21,-1%
2008-06-22 - 2008-06-28,+0%
2008-06-29 - 2008-07-05,+3%
2008-07-06 - 2008-07-12,-4%
2008-07-13 - 2008-07-19,-1%
2008-07-20 - 2008-07-26,-4%
2008-07-27 - 2008-08-02,+0%
2008-08-03 - 2008-08-09,-1%
2008-08-10 - 2008-08-16,-6%
2008-08-17 - 2008-08-23,-6%
2008-08-24 - 2008-08-30,-1%
2008-08-31 - 2008-09-06,+9%
2008-09-07 - 2008-09-13,+43%
2008-09-14 - 2008-09-20,+7%
2008-09-21 - 2008-09-27,+6%
2008-09-28 - 2008-10-04,+4%
2008-10-05 - 2008-10-11,+3%
2008-10-12 - 2008-10-18,+4%
2008-10-19 - 2008-10-25,+7%
2008-10-26 - 2008-11-01,+1%
2008-11-02 - 2008-11-08,-1%
2008-11-09 - 2008-11-15,+4%
2008-11-16 - 2008-11-22,+11%
2008-11-23 - 2008-11-29,+10%
2008-11-30 - 2008-12-06,+14%
2008-12-07 - 2008-12-13,+10%
2008-12-14 - 2008-12-20,+1%
2008-12-21 - 2008-12-27,-9%
2008-12-28 - 2009-01-03,-9%



Top searches
spm,100
robot,80
spider,60
math,55
science,50
dinosaurs,40
animals,40
dinosaur,40
edgar,35
big bang,35
maxwell,30
robots,30
ocean,30
big bang theory,30
physics,25
caida de edgar,25
global warming,25
evolution,25
spiders,20
butterfly,20



Rising searches
cern,Breakout
expelled,Breakout
haarp,Breakout
hadron collider,Breakout
instinct,Breakout
lhc,Breakout
new math,+650%
asi,+350%
big dog,+250%
robot dog,+200%



