News Search interest
United States; 2013

Interest over time
Week,Sports
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,-8%
2013-01-20 - 2013-01-26,+3%
2013-01-27 - 2013-02-02,+0%
2013-02-03 - 2013-02-09,+8%
2013-02-10 - 2013-02-16,-32%
2013-02-17 - 2013-02-23,-17%
2013-02-24 - 2013-03-02,-23%
2013-03-03 - 2013-03-09,-25%
2013-03-10 - 2013-03-16,+5%
2013-03-17 - 2013-03-23,+5%
2013-03-24 - 2013-03-30,-6%
2013-03-31 - 2013-04-06,-9%
2013-04-07 - 2013-04-13,-8%
2013-04-14 - 2013-04-20,+8%
2013-04-21 - 2013-04-27,+4%
2013-04-28 - 2013-05-04,+3%
2013-05-05 - 2013-05-11,-9%
2013-05-12 - 2013-05-18,-9%
2013-05-19 - 2013-05-25,-13%
2013-05-26 - 2013-06-01,+10%
2013-06-02 - 2013-06-08,+16%
2013-06-09 - 2013-06-15,+3%
2013-06-16 - 2013-06-22,+5%
2013-06-23 - 2013-06-29,+10%
2013-06-30 - 2013-07-06,+18%
2013-07-07 - 2013-07-13,+1%
2013-07-14 - 2013-07-20,-16%
2013-07-21 - 2013-07-27,-16%
2013-07-28 - 2013-08-03,-5%
2013-08-04 - 2013-08-10,+1%
2013-08-11 - 2013-08-17,-5%
2013-08-18 - 2013-08-24,-9%
2013-08-25 - 2013-08-31,+4%
2013-09-01 - 2013-09-07,+4%
2013-09-08 - 2013-09-14,+6%
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,-13%
2013-09-29 - 2013-10-05,-13%
2013-10-06 - 2013-10-12,-1%
2013-10-13 - 2013-10-19,+1%
2013-10-20 - 2013-10-26,+0%
2013-10-27 - 2013-11-02,+8%
2013-11-03 - 2013-11-09,-6%
2013-11-10 - 2013-11-16,-9%
2013-11-17 - 2013-11-23,-8%
2013-11-24 - 2013-11-30,+0%
2013-12-01 - 2013-12-07,-9%
2013-12-08 - 2013-12-14,-1%
2013-12-15 - 2013-12-21,-9%
2013-12-22 - 2013-12-28,-6%
2013-12-29 - 2014-01-04,+30%



Top searches
nfl,100
nba,75
patriots,55
espn,55
miami heat,50
red sox,50
boston marathon,45
lakers,45
new england patriots,40
mayweather,40
broncos,40
tiger woods,40
49ers,40
tebow,35
packers,35
boston red sox,35
aaron hernandez,35
seahawks,30
ufc,30
denver broncos,30



Rising searches
aaron hernandez,+2,450%
boston marathon,+2,400%
boston red sox,+700%
bruins,+650%
new england patriots,+300%
red sox,+200%
miami heat,+180%
denver broncos,+160%
tiger woods,+120%
mayweather,+110%



