YouTube Search interest
United States; Past 90 days

Interest over time
Day,Hobbies & Leisure
2014-06-20,+0%
2014-06-21,+7%
2014-06-22,+8%
2014-06-23,+4%
2014-06-24,+3%
2014-06-25,+1%
2014-06-26,+3%
2014-06-27,+7%
2014-06-28,+3%
2014-06-29,+7%
2014-06-30,+8%
2014-07-01,+6%
2014-07-02,+8%
2014-07-03,+4%
2014-07-04,+6%
2014-07-05,+7%
2014-07-06,+6%
2014-07-07,+7%
2014-07-08,+4%
2014-07-09,+8%
2014-07-10,+8%
2014-07-11,+2%
2014-07-12,+4%
2014-07-13,+8%
2014-07-14,+3%
2014-07-15,+6%
2014-07-16,+3%
2014-07-17,+3%
2014-07-18,+3%
2014-07-19,+4%
2014-07-20,+9%
2014-07-21,+7%
2014-07-22,+6%
2014-07-23,+2%
2014-07-24,+1%
2014-07-25,+3%
2014-07-26,+4%
2014-07-27,+7%
2014-07-28,+9%
2014-07-29,+2%
2014-07-30,+4%
2014-07-31,+1%
2014-08-01,+2%
2014-08-02,+0%
2014-08-03,+7%
2014-08-04,+7%
2014-08-05,+3%
2014-08-06,+1%
2014-08-07,+3%
2014-08-08,+4%
2014-08-09,+4%
2014-08-10,+2%
2014-08-11,+3%
2014-08-12,+1%
2014-08-13,+0%
2014-08-14,+0%
2014-08-15,+0%
2014-08-16,+6%
2014-08-17,+8%
2014-08-18,+3%
2014-08-19,+3%
2014-08-20,+3%
2014-08-21,+6%
2014-08-22,+9%
2014-08-23,+11%
2014-08-24,+9%
2014-08-25,+2%
2014-08-26,-1%
2014-08-27,-2%
2014-08-28,+2%
2014-08-29,+1%
2014-08-30,+4%
2014-08-31,+8%
2014-09-01,+9%
2014-09-02,+0%
2014-09-03,+0%
2014-09-04,-2%
2014-09-05,+0%
2014-09-06,+7%
2014-09-07,+7%
2014-09-08,-3%
2014-09-09,-3%
2014-09-10,-1%
2014-09-11,+0%
2014-09-12,+6%
2014-09-13,+7%
2014-09-14,+7%
2014-09-15,-1%
2014-09-16,-1%
2014-09-17,-2%
2014-09-18, 
2014-09-19, 



Top searches
dog,100
cat,85
minecraft,75
fishing,55
dogs,45
birthday,45
anaconda,40
hunting,35
pony,35
faze,30
cats,30
pitbull,30
fish,30
trolling,25
my little pony,25
shark,25
airsoft,25
happy birthday,25
terraria,25
puppies,25



Rising searches
ice bucket challenge,Breakout
anaconda,+1,150%
spooky scary skeletons,+200%
faze jev,+120%
jc caylen,+110%
jev,+110%
dunkey,+70%
halloween,+70%
deer hunting,+60%
shadow of mordor,+60%



