Web Search interest
United States; Past 30 days

Interest over time
Day,Sports
2014-08-18,+0%
2014-08-19,-9%
2014-08-20,-11%
2014-08-21,-9%
2014-08-22,-9%
2014-08-23,+15%
2014-08-24,+23%
2014-08-25,+0%
2014-08-26,-6%
2014-08-27,-4%
2014-08-28,+0%
2014-08-29,+11%
2014-08-30,+45%
2014-08-31,+43%
2014-09-01,+15%
2014-09-02,+0%
2014-09-03,+2%
2014-09-04,+6%
2014-09-05,+13%
2014-09-06,+40%
2014-09-07,+83%
2014-09-08,+34%
2014-09-09,+13%
2014-09-10,-8%
2014-09-11,-8%
2014-09-12,+2%
2014-09-13,+38%
2014-09-14,+89%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
nfl,100
espn,90
fantasy football,50
ray rice,35
soccer,30
news,25
baseball,25
mlb,25
yahoo,25
us open,25
college football,20
basketball,20
mayweather,20
espn fantasy,15
nfl schedule,15
wwe,15
cowboys,15
seahawks,15
espn fantasy football,15
giants,15



Rising searches
ray rice,+950%
us open,+750%
mayweather,+400%
espn fantasy football,+350%
college football,+300%
espn fantasy,+300%
yahoo fantasy,+250%
fantasy football,+200%
nfl schedule,+170%
nfl,+160%



