Google Shopping interest
United States; Past 30 days

Interest over time
Day,Reference
2014-08-20,+0%
2014-08-21,+8%
2014-08-22,+1%
2014-08-23,-8%
2014-08-24,-9%
2014-08-25,+3%
2014-08-26,+12%
2014-08-27,+16%
2014-08-28,+10%
2014-08-29,+0%
2014-08-30,-9%
2014-08-31,-13%
2014-09-01,-7%
2014-09-02,+7%
2014-09-03,+13%
2014-09-04,+5%
2014-09-05,-5%
2014-09-06,-13%
2014-09-07,-8%
2014-09-08,+5%
2014-09-09,+8%
2014-09-10,+5%
2014-09-11,+2%
2014-09-12,-7%
2014-09-13,-15%
2014-09-14,-14%
2014-09-15,-2%
2014-09-16,+3%
2014-09-17, 
2014-09-18, 
2014-09-19, 



Top searches
craigslist,100
the,40
quotes,35
definition,30
map,20
calculator,15
google,15
translate,15
mermaid,10
dictionary,10
calendar,10
google translate,10
maps,10
graphing calculator,5
add reminder,5
ti 84,5
history,5
mermaid tails,5
search,5
directions,5



Rising searches
the fappening,Breakout
graphing calculator,+100%
ti 84 calculator,+90%
calculator,+80%
definition,+80%
ti 84,+80%
ti-84,+50%
dictionary,+40%
flags,+40%
the,+40%



