News Search interest
United States; 2012

Interest over time
Week,Business & Industrial
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+10%
2012-01-15 - 2012-01-21,+11%
2012-01-22 - 2012-01-28,+13%
2012-01-29 - 2012-02-04,+16%
2012-02-05 - 2012-02-11,+3%
2012-02-12 - 2012-02-18,+27%
2012-02-19 - 2012-02-25,+10%
2012-02-26 - 2012-03-03,+24%
2012-03-04 - 2012-03-10,-1%
2012-03-11 - 2012-03-17,+6%
2012-03-18 - 2012-03-24,+3%
2012-03-25 - 2012-03-31,+4%
2012-04-01 - 2012-04-07,+1%
2012-04-08 - 2012-04-14,+4%
2012-04-15 - 2012-04-21,+16%
2012-04-22 - 2012-04-28,+18%
2012-04-29 - 2012-05-05,+16%
2012-05-06 - 2012-05-12,+13%
2012-05-13 - 2012-05-19,+19%
2012-05-20 - 2012-05-26,+18%
2012-05-27 - 2012-06-02,+4%
2012-06-03 - 2012-06-09,+3%
2012-06-10 - 2012-06-16,+1%
2012-06-17 - 2012-06-23,+10%
2012-06-24 - 2012-06-30,+1%
2012-07-01 - 2012-07-07,+3%
2012-07-08 - 2012-07-14,+11%
2012-07-15 - 2012-07-21,+10%
2012-07-22 - 2012-07-28,+1%
2012-07-29 - 2012-08-04,-3%
2012-08-05 - 2012-08-11,+5%
2012-08-12 - 2012-08-18,-1%
2012-08-19 - 2012-08-25,-6%
2012-08-26 - 2012-09-01,-16%
2012-09-02 - 2012-09-08,-15%
2012-09-09 - 2012-09-15,-20%
2012-09-16 - 2012-09-22,+1%
2012-09-23 - 2012-09-29,-8%
2012-09-30 - 2012-10-06,-9%
2012-10-07 - 2012-10-13,-8%
2012-10-14 - 2012-10-20,-9%
2012-10-21 - 2012-10-27,-16%
2012-10-28 - 2012-11-03,-5%
2012-11-04 - 2012-11-10,-19%
2012-11-11 - 2012-11-17,-15%
2012-11-18 - 2012-11-24,-24%
2012-11-25 - 2012-12-01,-11%
2012-12-02 - 2012-12-08,-6%
2012-12-09 - 2012-12-15,-16%
2012-12-16 - 2012-12-22,-25%
2012-12-23 - 2012-12-29,-29%
2012-12-30 - 2013-01-05,-9%



Top searches
energy,100
gas,90
new,80
oil,65
space,60
business,60
solar,50
nasa,45
water,45
facebook,40
fiscal cliff,35
natural gas,30
bloomberg,30
google,30
dow,30
aapl,30
ipo,30
puerto rico,30
apple,30
layoffs,30



Rising searches
fiscal cliff,Breakout
fb,+1,200%
facebook ipo,+500%
spacex,+250%
facebook,+120%
puerto rico,+80%
gas,+70%
ipo,+70%
natural gas,+60%
aapl,+50%



