News Search interest
United States; Past 90 days

Interest over time
Day,Beauty & Fitness
2014-06-19,+0%
2014-06-20,-5%
2014-06-21,+8%
2014-06-22,+3%
2014-06-23,-8%
2014-06-24,-15%
2014-06-25,-8%
2014-06-26,-13%
2014-06-27,-3%
2014-06-28,+13%
2014-06-29,+8%
2014-06-30,-5%
2014-07-01,-13%
2014-07-02,-10%
2014-07-03,-5%
2014-07-04,-10%
2014-07-05,-3%
2014-07-06,-5%
2014-07-07,-8%
2014-07-08,-18%
2014-07-09,-13%
2014-07-10,-10%
2014-07-11,-8%
2014-07-12,-3%
2014-07-13,-10%
2014-07-14,-13%
2014-07-15,-8%
2014-07-16,-8%
2014-07-17,-18%
2014-07-18,-15%
2014-07-19,+0%
2014-07-20,-3%
2014-07-21,-10%
2014-07-22,-10%
2014-07-23,-15%
2014-07-24,-10%
2014-07-25,-5%
2014-07-26,+0%
2014-07-27,-5%
2014-07-28,-10%
2014-07-29,-5%
2014-07-30,-5%
2014-07-31,-5%
2014-08-01,-8%
2014-08-02,-3%
2014-08-03,-3%
2014-08-04,-18%
2014-08-05,-10%
2014-08-06,-8%
2014-08-07,+0%
2014-08-08,-15%
2014-08-09,-3%
2014-08-10,+36%
2014-08-11,-10%
2014-08-12,-13%
2014-08-13,-5%
2014-08-14,-13%
2014-08-15,-8%
2014-08-16,-8%
2014-08-17,-10%
2014-08-18,-5%
2014-08-19,-10%
2014-08-20,+8%
2014-08-21,+13%
2014-08-22,-8%
2014-08-23,-3%
2014-08-24,-13%
2014-08-25,-21%
2014-08-26,-8%
2014-08-27,-15%
2014-08-28,+3%
2014-08-29,+15%
2014-08-30,+5%
2014-08-31,+13%
2014-09-01,+18%
2014-09-02,+10%
2014-09-03,+13%
2014-09-04,+46%
2014-09-05,+38%
2014-09-06,+21%
2014-09-07,+3%
2014-09-08,-8%
2014-09-09,-18%
2014-09-10,-10%
2014-09-11,-3%
2014-09-12,-8%
2014-09-13,+0%
2014-09-14,-5%
2014-09-15,+156%
2014-09-16,+44%
2014-09-17, 
2014-09-18, 



Top searches
hair,100
america,60
joan rivers,55
miss america,55
face,45
harry styles,45
tattoo,40
tattoos,30
yoga,25
fashion,25
modi,25
fitness,25
weight loss,25
hairstyles,20
cincinnati,15
makeup,15
kevin ward,15
nails,15
haircut,15
gisele,15



Rising searches
kevin ward,Breakout
kevin ward jr,Breakout
melissa rivers,Breakout
joan rivers,+4,500%
miss america,+700%
america,+400%
kate upton,+300%
upton,+250%
gisele,+100%
gisele bundchen,+80%



