YouTube Search interest
United States; Past 30 days

Interest over time
Day,Health
2014-08-20,+0%
2014-08-21,-5%
2014-08-22,-8%
2014-08-23,-11%
2014-08-24,-9%
2014-08-25,-11%
2014-08-26,-1%
2014-08-27,-2%
2014-08-28,-3%
2014-08-29,-8%
2014-08-30,-12%
2014-08-31,-7%
2014-09-01,-11%
2014-09-02,+8%
2014-09-03,+9%
2014-09-04,+1%
2014-09-05,-4%
2014-09-06,-10%
2014-09-07,-7%
2014-09-08,-1%
2014-09-09,-5%
2014-09-10,+0%
2014-09-11,-4%
2014-09-12,-5%
2014-09-13,-13%
2014-09-14,-10%
2014-09-15,+1%
2014-09-16,+0%
2014-09-17,+7%
2014-09-18, 
2014-09-19, 



Top searches
amnesia,100
weed,70
5sos amnesia,55
surgery,50
asmr,50
smoking,45
pranks,40
pranks gone wrong,35
heart,35
general hospital,35
pain,30
morning routine,30
lil herb,25
cid,25
broken,20
marijuana,20
ebola,20
wisdom teeth,20
egg,20
screen junkies,15



Rising searches
joan rivers,Breakout
pokken,Breakout
steven sotloff,Breakout
als,+750%
sight words,+300%
lab safety,+180%
lava,+140%
amnesia 5sos lyrics,+110%
texas a&m,+110%
amnesia lyrics,+100%



