News Search interest
United States; 2011

Interest over time
Week,Reference
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,-4%
2011-01-16 - 2011-01-22,+0%
2011-01-23 - 2011-01-29,+21%
2011-01-30 - 2011-02-05,+49%
2011-02-06 - 2011-02-12,+12%
2011-02-13 - 2011-02-19,-1%
2011-02-20 - 2011-02-26,-6%
2011-02-27 - 2011-03-05,-1%
2011-03-06 - 2011-03-12,+3%
2011-03-13 - 2011-03-19,+46%
2011-03-20 - 2011-03-26,+19%
2011-03-27 - 2011-04-02,+3%
2011-04-03 - 2011-04-09,-1%
2011-04-10 - 2011-04-16,+3%
2011-04-17 - 2011-04-23,-7%
2011-04-24 - 2011-04-30,+0%
2011-05-01 - 2011-05-07,-4%
2011-05-08 - 2011-05-14,+10%
2011-05-15 - 2011-05-21,+10%
2011-05-22 - 2011-05-28,-13%
2011-05-29 - 2011-06-04,-10%
2011-06-05 - 2011-06-11,-10%
2011-06-12 - 2011-06-18,-13%
2011-06-19 - 2011-06-25,-19%
2011-06-26 - 2011-07-02,-21%
2011-07-03 - 2011-07-09,-21%
2011-07-10 - 2011-07-16,-12%
2011-07-17 - 2011-07-23,-19%
2011-07-24 - 2011-07-30,-21%
2011-07-31 - 2011-08-06,-19%
2011-08-07 - 2011-08-13,-12%
2011-08-14 - 2011-08-20,-15%
2011-08-21 - 2011-08-27,-18%
2011-08-28 - 2011-09-03,-4%
2011-09-04 - 2011-09-10,-10%
2011-09-11 - 2011-09-17,-6%
2011-09-18 - 2011-09-24,-1%
2011-09-25 - 2011-10-01,-7%
2011-10-02 - 2011-10-08,-18%
2011-10-09 - 2011-10-15,-10%
2011-10-16 - 2011-10-22,-13%
2011-10-23 - 2011-10-29,-12%
2011-10-30 - 2011-11-05,-7%
2011-11-06 - 2011-11-12,-16%
2011-11-13 - 2011-11-19,-21%
2011-11-20 - 2011-11-26,-21%
2011-11-27 - 2011-12-03,-16%
2011-12-04 - 2011-12-10,-21%
2011-12-11 - 2011-12-17,-16%
2011-12-18 - 2011-12-24,-19%
2011-12-25 - 2011-12-31,-21%



Top searches
egypt,100
nuclear,80
craigslist craigslist,75
craigslist,75
japan,65
japan nuclear,50
map,45
google,45
us,45
economy,35
quotes,30
wikipedia,25
georgia,25
traffic,25
history,25
maps,20
library,20
dictionary,15
china,15
earth,15



Rising searches
japan nuclear,Breakout
timeline,+600%
japan,+500%
egypt,+450%
nuclear,+130%
quotes,+100%
wiki,+100%
population,+80%
deaths,+70%
history,+50%



