YouTube Search interest
United States; Past 90 days

Interest over time
Day,Internet & Telecom
2014-06-20,+0%
2014-06-21,-6%
2014-06-22,-2%
2014-06-23,-6%
2014-06-24,-6%
2014-06-25,+2%
2014-06-26,+2%
2014-06-27,+2%
2014-06-28,+0%
2014-06-29,-2%
2014-06-30,+9%
2014-07-01,-2%
2014-07-02,-2%
2014-07-03,+6%
2014-07-04,+2%
2014-07-05,+0%
2014-07-06,+4%
2014-07-07,+2%
2014-07-08,+9%
2014-07-09,-2%
2014-07-10,+4%
2014-07-11,-2%
2014-07-12,+4%
2014-07-13,+6%
2014-07-14,+2%
2014-07-15,+13%
2014-07-16,+17%
2014-07-17,+36%
2014-07-18,+26%
2014-07-19,+6%
2014-07-20,+13%
2014-07-21,+13%
2014-07-22,+11%
2014-07-23,+9%
2014-07-24,+6%
2014-07-25,+2%
2014-07-26,+6%
2014-07-27,+11%
2014-07-28,+6%
2014-07-29,+6%
2014-07-30,+2%
2014-07-31,+2%
2014-08-01,+6%
2014-08-02,+2%
2014-08-03,+4%
2014-08-04,+4%
2014-08-05,+9%
2014-08-06,+6%
2014-08-07,+4%
2014-08-08,+2%
2014-08-09,+0%
2014-08-10,-2%
2014-08-11,+0%
2014-08-12,+0%
2014-08-13,+2%
2014-08-14,+4%
2014-08-15,+2%
2014-08-16,+6%
2014-08-17,+6%
2014-08-18,+13%
2014-08-19,+4%
2014-08-20,+9%
2014-08-21,+2%
2014-08-22,+0%
2014-08-23,+2%
2014-08-24,-4%
2014-08-25,+4%
2014-08-26,-6%
2014-08-27,+2%
2014-08-28,-2%
2014-08-29,+4%
2014-08-30,+2%
2014-08-31,+2%
2014-09-01,+2%
2014-09-02,+4%
2014-09-03,+17%
2014-09-04,+6%
2014-09-05,+2%
2014-09-06,+0%
2014-09-07,+6%
2014-09-08,+2%
2014-09-09,+113%
2014-09-10,+111%
2014-09-11,+60%
2014-09-12,+45%
2014-09-13,+34%
2014-09-14,+30%
2014-09-15,+26%
2014-09-16,+17%
2014-09-17,+34%
2014-09-18, 
2014-09-19, 



Top searches
iphone,100
iphone 6,55
android,25
samsung,25
voice,25
the voice,20
google,15
unboxing,15
purge,10
htc one,10
apple,10
sky,10
iphone 5,10
diamond minecart,10
handy,10
htc m8,10
iphone 6 plus,10
apple iphone 6,5
htc one m8,5
iphone 5s,5



Rising searches
handy weird al,Breakout
iphone 6 plus,Breakout
weird al,Breakout
handy,+2,150%
apple iphone 6,+1,200%
iphone 6 trailer,+450%
iphone 6,+400%
pt,+250%
apple,+150%
iphone,+70%



