News Search interest
United States; Past 12 months

Interest over time
Week,Internet & Telecom
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+0%
2013-09-29 - 2013-10-05,-36%
2013-10-06 - 2013-10-12,-34%
2013-10-13 - 2013-10-19,-27%
2013-10-20 - 2013-10-26,-24%
2013-10-27 - 2013-11-02,-13%
2013-11-03 - 2013-11-09,-25%
2013-11-10 - 2013-11-16,-34%
2013-11-17 - 2013-11-23,-40%
2013-11-24 - 2013-11-30,-39%
2013-12-01 - 2013-12-07,-42%
2013-12-08 - 2013-12-14,-37%
2013-12-15 - 2013-12-21,-37%
2013-12-22 - 2013-12-28,-33%
2013-12-29 - 2014-01-04,-45%
2014-01-05 - 2014-01-11,-43%
2014-01-12 - 2014-01-18,-39%
2014-01-19 - 2014-01-25,-43%
2014-01-26 - 2014-02-01,-33%
2014-02-02 - 2014-02-08,-43%
2014-02-09 - 2014-02-15,-36%
2014-02-16 - 2014-02-22,-39%
2014-02-23 - 2014-03-01,-30%
2014-03-02 - 2014-03-08,-39%
2014-03-09 - 2014-03-15,-48%
2014-03-16 - 2014-03-22,-43%
2014-03-23 - 2014-03-29,-34%
2014-03-30 - 2014-04-05,-39%
2014-04-06 - 2014-04-12,-36%
2014-04-13 - 2014-04-19,-36%
2014-04-20 - 2014-04-26,-34%
2014-04-27 - 2014-05-03,-37%
2014-05-04 - 2014-05-10,-39%
2014-05-11 - 2014-05-17,-36%
2014-05-18 - 2014-05-24,-34%
2014-05-25 - 2014-05-31,-34%
2014-06-01 - 2014-06-07,-36%
2014-06-08 - 2014-06-14,-39%
2014-06-15 - 2014-06-21,-36%
2014-06-22 - 2014-06-28,-28%
2014-06-29 - 2014-07-05,-37%
2014-07-06 - 2014-07-12,-37%
2014-07-13 - 2014-07-19,-33%
2014-07-20 - 2014-07-26,-21%
2014-07-27 - 2014-08-02,-36%
2014-08-03 - 2014-08-09,-28%
2014-08-10 - 2014-08-16,-33%
2014-08-17 - 2014-08-23,-24%
2014-08-24 - 2014-08-30,-22%
2014-08-31 - 2014-09-06,-18%
2014-09-07 - 2014-09-13,+49%
2014-09-14 - 2014-09-20,+10%



Top searches
iphone,100
google,95
iphone 6,35
android,30
samsung,30
mail,25
yahoo,20
phone,20
verizon,20
yahoo mail,20
nexus,20
iphone 5,15
mobile,15
sprint,15
twitter,15
at&t,15
htc,15
blackberry,10
app,10
samsung group,10



Rising searches
iphone 6,+300%
iphone 6 release,+250%
nexus 5,+250%
samsung group,+250%
comcast,+90%
gmail,+70%
ios,+70%
mail,+60%
yahoo mail,+60%
internet,+40%



