Web Search interest
United States; Past 90 days

Interest over time
Day,Food & Drink
2014-06-18,+0%
2014-06-19,-1%
2014-06-20,+8%
2014-06-21,+23%
2014-06-22,+27%
2014-06-23,-1%
2014-06-24,+0%
2014-06-25,+3%
2014-06-26,-3%
2014-06-27,+11%
2014-06-28,+25%
2014-06-29,+30%
2014-06-30,+1%
2014-07-01,+0%
2014-07-02,+7%
2014-07-03,+13%
2014-07-04,+41%
2014-07-05,+25%
2014-07-06,+27%
2014-07-07,+1%
2014-07-08,+1%
2014-07-09,-1%
2014-07-10,+6%
2014-07-11,+11%
2014-07-12,+30%
2014-07-13,+31%
2014-07-14,+4%
2014-07-15,+4%
2014-07-16,+4%
2014-07-17,+4%
2014-07-18,+11%
2014-07-19,+34%
2014-07-20,+31%
2014-07-21,+3%
2014-07-22,+4%
2014-07-23,+10%
2014-07-24,+6%
2014-07-25,+11%
2014-07-26,+31%
2014-07-27,+34%
2014-07-28,+3%
2014-07-29,+6%
2014-07-30,+7%
2014-07-31,+6%
2014-08-01,+13%
2014-08-02,+27%
2014-08-03,+31%
2014-08-04,+3%
2014-08-05,+1%
2014-08-06,+7%
2014-08-07,+4%
2014-08-08,+7%
2014-08-09,+28%
2014-08-10,+31%
2014-08-11,+0%
2014-08-12,-1%
2014-08-13,-1%
2014-08-14,+4%
2014-08-15,+4%
2014-08-16,+24%
2014-08-17,+32%
2014-08-18,-1%
2014-08-19,-1%
2014-08-20,-1%
2014-08-21,+0%
2014-08-22,+6%
2014-08-23,+28%
2014-08-24,+28%
2014-08-25,-4%
2014-08-26,-6%
2014-08-27,-7%
2014-08-28,-3%
2014-08-29,+8%
2014-08-30,+31%
2014-08-31,+32%
2014-09-01,+23%
2014-09-02,-8%
2014-09-03,-10%
2014-09-04,-10%
2014-09-05,-3%
2014-09-06,+21%
2014-09-07,+25%
2014-09-08,-6%
2014-09-09,-11%
2014-09-10,-6%
2014-09-11,-6%
2014-09-12,+0%
2014-09-13,+23%
2014-09-14,+25%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
pizza,100
recipes,90
chicken,80
food,60
restaurants,55
pizza hut,35
dominos,25
yelp,20
starbucks,20
papa johns,20
taco,20
mcdonalds,15
sushi,15
ice cream,15
chipotle,10
frozen,10
zucchini,10
jimmy johns,10
subway,10
chicken recipes,10



Rising searches
share a coke,Breakout
zucchini bread,+650%
market basket,+450%
the leftovers,+450%
zucchini recipes,+350%
zucchini,+250%
peach cobbler,+200%
restaurant week,+180%
cucumber salad,+130%
salsa recipe,+110%



