News Search interest
United States; Past 30 days

Interest over time
Day,Beauty & Fitness
2014-08-19,+0%
2014-08-20,+16%
2014-08-21,+27%
2014-08-22,-3%
2014-08-23,+8%
2014-08-24,-5%
2014-08-25,-14%
2014-08-26,+5%
2014-08-27,-8%
2014-08-28,+14%
2014-08-29,+27%
2014-08-30,+14%
2014-08-31,+16%
2014-09-01,+27%
2014-09-02,+16%
2014-09-03,+24%
2014-09-04,+59%
2014-09-05,+43%
2014-09-06,+27%
2014-09-07,+16%
2014-09-08,+0%
2014-09-09,-11%
2014-09-10,-5%
2014-09-11,+3%
2014-09-12,+3%
2014-09-13,+11%
2014-09-14,+5%
2014-09-15,+170%
2014-09-16,+57%
2014-09-17, 
2014-09-18, 



Top searches
joan rivers,100
america,90
miss america,85
hair,55
fashion,35
yoga,25
face,25
harry styles,25
tattoo,20
melissa rivers,20
tattoos,20
upton,15
fitness,15
modi,15
kate upton,15
weight loss,15
update joan rivers,15
gisele,10
fashion week,10
diet,10



Rising searches
angelina jolie,Breakout
fashion week,Breakout
joan rivers,Breakout
melissa rivers,Breakout
miss america,Breakout
update joan rivers,Breakout
america,+2,550%
kate upton,+1,200%
upton,+650%
fashion,+200%



