Google Shopping interest
United States; Past 90 days

Interest over time
Day,Reference
2014-06-20,+0%
2014-06-21,+0%
2014-06-22,+1%
2014-06-23,+6%
2014-06-24,+4%
2014-06-25,+8%
2014-06-26,-6%
2014-06-27,-3%
2014-06-28,+6%
2014-06-29,-4%
2014-06-30,-3%
2014-07-01,+0%
2014-07-02,+3%
2014-07-03,+3%
2014-07-04,+6%
2014-07-05,+8%
2014-07-06,+0%
2014-07-07,+10%
2014-07-08,+4%
2014-07-09,-6%
2014-07-10,+0%
2014-07-11,+6%
2014-07-12,+1%
2014-07-13,-1%
2014-07-14,+4%
2014-07-15,+1%
2014-07-16,+3%
2014-07-17,+7%
2014-07-18,+0%
2014-07-19,+1%
2014-07-20,+6%
2014-07-21,+1%
2014-07-22,+1%
2014-07-23,-1%
2014-07-24,-4%
2014-07-25,+3%
2014-07-26,+4%
2014-07-27,+0%
2014-07-28,-4%
2014-07-29,+3%
2014-07-30,-4%
2014-07-31,+3%
2014-08-01,+0%
2014-08-02,-4%
2014-08-03,-3%
2014-08-04,+3%
2014-08-05,+4%
2014-08-06,+3%
2014-08-07,+8%
2014-08-08,-1%
2014-08-09,-4%
2014-08-10,+0%
2014-08-11,+4%
2014-08-12,+3%
2014-08-13,+4%
2014-08-14,+7%
2014-08-15,+3%
2014-08-16,-1%
2014-08-17,+0%
2014-08-18,+11%
2014-08-19,+17%
2014-08-20,+14%
2014-08-21,+24%
2014-08-22,+21%
2014-08-23,+7%
2014-08-24,+6%
2014-08-25,+21%
2014-08-26,+28%
2014-08-27,+39%
2014-08-28,+29%
2014-08-29,+15%
2014-08-30,+7%
2014-08-31,+3%
2014-09-01,+11%
2014-09-02,+25%
2014-09-03,+31%
2014-09-04,+29%
2014-09-05,+17%
2014-09-06,+0%
2014-09-07,+8%
2014-09-08,+21%
2014-09-09,+25%
2014-09-10,+22%
2014-09-11,+21%
2014-09-12,+13%
2014-09-13,-3%
2014-09-14,+1%
2014-09-15,+17%
2014-09-16,+24%
2014-09-17, 
2014-09-18, 
2014-09-19, 



Top searches
craigslist,100
quotes,35
definition,20
map,20
mermaid,15
google,15
translate,10
maps,10
mermaid tails,10
add reminder,5
calendar,5
dictionary,5
history,5
google maps,5
translate google,5
search,5
directions,5
library,5
planner,5
trash can,5



Rising searches
ti 84 calculator,+400%
ti 84 plus,+250%
ti 84,+200%
graphing calculator,+190%
ti-84,+160%
directions to,+130%
fin fun mermaid,+110%
mermaid tail,+80%
english to spanish,+70%
mermaid,+60%



