Google Shopping interest
United States; Past 30 days

Interest over time
Day,Science
2014-08-20,+0%
2014-08-21,+9%
2014-08-22,+4%
2014-08-23,-12%
2014-08-24,-9%
2014-08-25,+5%
2014-08-26,+30%
2014-08-27,+30%
2014-08-28,+13%
2014-08-29,+21%
2014-08-30,-14%
2014-08-31,-14%
2014-09-01,-9%
2014-09-02,+20%
2014-09-03,+32%
2014-09-04,+25%
2014-09-05,+11%
2014-09-06,-11%
2014-09-07,+0%
2014-09-08,+14%
2014-09-09,+21%
2014-09-10,+20%
2014-09-11,+25%
2014-09-12,+7%
2014-09-13,-18%
2014-09-14,-8%
2014-09-15,+9%
2014-09-16,+20%
2014-09-17, 
2014-09-18, 
2014-09-19, 



Top searches
windows 7,100
scale,65
robot,65
biology,60
drone,50
thermos,45
microscope,40
dinosaur,40
.net framework,35
spider,30
animals,30
skeleton hand bracelet,30



Rising searches
skeleton hand bracelet,Breakout
biology,+130%
animals,+70%



