YouTube Search interest
United States; Jan 2008 - Sep 2014

Interest over time
Week,Food & Drink
2010-11-14 - 2010-11-20,+3%
2010-11-21 - 2010-11-27,+9%
2010-11-28 - 2010-12-04,-2%
2010-12-05 - 2010-12-11,+0%
2010-12-12 - 2010-12-18,+0%
2010-12-19 - 2010-12-25,+2%
2010-12-26 - 2011-01-01,+2%
2011-01-02 - 2011-01-08,+2%
2011-01-09 - 2011-01-15,+9%
2011-01-16 - 2011-01-22,+9%
2011-01-23 - 2011-01-29,+3%
2011-01-30 - 2011-02-05,+5%
2011-02-06 - 2011-02-12,+2%
2011-02-13 - 2011-02-19,+0%
2011-02-20 - 2011-02-26,+5%
2011-02-27 - 2011-03-05,+3%
2011-03-06 - 2011-03-12,+9%
2011-03-13 - 2011-03-19,+7%
2011-03-20 - 2011-03-26,+12%
2011-03-27 - 2011-04-02,+12%
2011-04-03 - 2011-04-09,+14%
2011-04-10 - 2011-04-16,+12%
2011-04-17 - 2011-04-23,+19%
2011-04-24 - 2011-04-30,+21%
2011-05-01 - 2011-05-07,+14%
2011-05-08 - 2011-05-14,+12%
2011-05-15 - 2011-05-21,+12%
2011-05-22 - 2011-05-28,+10%
2011-05-29 - 2011-06-04,+9%
2011-06-05 - 2011-06-11,+7%
2011-06-12 - 2011-06-18,+9%
2011-06-19 - 2011-06-25,+10%
2011-06-26 - 2011-07-02,+10%
2011-07-03 - 2011-07-09,+7%
2011-07-10 - 2011-07-16,+5%
2011-07-17 - 2011-07-23,+10%
2011-07-24 - 2011-07-30,+9%
2011-07-31 - 2011-08-06,+10%
2011-08-07 - 2011-08-13,+9%
2011-08-14 - 2011-08-20,+9%
2011-08-21 - 2011-08-27,+10%
2011-08-28 - 2011-09-03,+17%
2011-09-04 - 2011-09-10,+10%
2011-09-11 - 2011-09-17,+12%
2011-09-18 - 2011-09-24,+12%
2011-09-25 - 2011-10-01,+12%
2011-10-02 - 2011-10-08,+12%
2011-10-09 - 2011-10-15,+14%
2011-10-16 - 2011-10-22,+12%
2011-10-23 - 2011-10-29,+10%
2011-10-30 - 2011-11-05,+17%
2011-11-06 - 2011-11-12,+24%
2011-11-13 - 2011-11-19,+19%
2011-11-20 - 2011-11-26,+29%
2011-11-27 - 2011-12-03,+14%
2011-12-04 - 2011-12-10,+14%
2011-12-11 - 2011-12-17,+17%
2011-12-18 - 2011-12-24,+21%
2011-12-25 - 2011-12-31,+21%
2012-01-01 - 2012-01-07,+19%
2012-01-08 - 2012-01-14,+17%
2012-01-15 - 2012-01-21,+22%
2012-01-22 - 2012-01-28,+21%
2012-01-29 - 2012-02-04,+17%
2012-02-05 - 2012-02-11,+21%
2012-02-12 - 2012-02-18,+12%
2012-02-19 - 2012-02-25,+21%
2012-02-26 - 2012-03-03,+21%
2012-03-04 - 2012-03-10,+21%
2012-03-11 - 2012-03-17,+24%
2012-03-18 - 2012-03-24,+26%
2012-03-25 - 2012-03-31,+24%
2012-04-01 - 2012-04-07,+26%
2012-04-08 - 2012-04-14,+28%
2012-04-15 - 2012-04-21,+26%
